kit	noun	/kɪt/	中古荷兰语 kitte（木桶、盛物的家什），后转指装齐了一套东西的那一份	a set of tools or equipment for a particular purpose	掀开盖子，海绵上按形状抠出凹槽，每样家什各归各位	成套工具/装备/工具箱	He carried a small repair kit.|The players collected their kit early.	all one job needs, packed as one – 干一件事要的东西凑成一份	成套工具：一件事需要的家伙什凑齐算一份|装备：出门做事随身带的那一整套|工具箱：把这一套收起来的那个盒子
kite	noun	/kaɪt/	古英语 cȳta（一种盘旋的鹞鹰）← 原始日耳曼语；纸做的那种因悬在空中的姿态得名	a light frame flown on a string, or a bird of prey that hovers	线绷得笔直，纸面在高处斜着抖，手上一顿一顿地拽	风筝/鸢	The children flew a kite on the beach.|A kite circled above the field.	a light thing held up on a string – 一根线牵着不落的轻东西	风筝：线牵着悬在空中的那片纸或布|鸢：在高处盘旋少动翅的那种猛禽，姿态相同故同名
knee	noun	/niː/	古英语 cnēow ← 原始日耳曼语 *knewam ← 原始印欧语 *ǵenu-（弯折处）	the joint in the middle of the leg where it bends	裤子上磨得发白的那两块，正是蹲下时先弯的地方	膝盖/膝	He hurt his knee playing football.|She knelt down on one knee.	the hinge halfway down the leg – 腿中段那个能折的关节	膝盖：腿中段能弯折的那一块|膝：同一处在文言和医书里的说法
kneel	verb	/niːl/	古英语 cnēowlian ← cnēow（膝）← 原始日耳曼语 *knewam	to go down and rest on the knees	他一条腿先着地，另一条跟上，身子矮下去一大截	跪下/下跪	She knelt beside the injured dog.|They knelt to pray in silence.	come down onto the leg joints – 把身子落到腿的关节上	跪下：主动把身体降到腿弯着地的姿势|下跪：同一动作，多用在求人或行礼的场合
knife	noun	/naɪf/	晚期古英语 cnīf ← 古诺斯语 knífr ← 原始日耳曼语 *knībaz	a tool with a blade for cutting	薄薄一片钢，一边磨出一道亮线，一边包着木柄	刀/小刀/餐刀	He cut the rope with a knife.|Put the knife on the right side.	a held edge for cutting – 手里握着的那一道刃	刀：泛指有刃能割的手持器具|小刀：能收进口袋的那种短的|餐刀：摆在盘子右边切肉用的那把
knit	verb	/nɪt/	古英语 cnyttan（打结、系紧）← 原始日耳曼语 *knuttjan，与 knot（结）同源	to make fabric by looping yarn, or to grow firmly together	两根竹针挑着一团线，手腕一转就多出一排环扣	编织/织/接合	She knitted a scarf for winter.|The broken bone knitted well.	loop thread until it holds itself – 把线绕成互相咬住的一片	编织：用针把线绕成环扣，一排排连成片|织：同一动作的单字说法|接合：断开的两头长回一起，像线扣互相咬住
knob	noun	/nɒb/	中古低地德语 knobbe（结、疙瘩）← 日耳曼语 *knub-（鼓起的一块）	a rounded handle or a round lump on a surface	门上一个鼓出来的圆球，握住转半圈，门就松了	圆把手/球形突起/旋钮	He turned the brass knob slowly.|Adjust the volume with this knob.	a rounded lump you take hold of – 一个能攥住的圆疙瘩	圆把手：门上鼓起来供手抓的那个球|球形突起：木面或金属面上凸出来的圆包|旋钮：仪器上攥着转来调数的那个
knock	verb / noun	/nɒk/	古英语 cnocian（敲、击），拟声词 ← 原始日耳曼语 *knuk-	to strike something with a short hard blow	指节在木板上叩了三下，屋里的人抬起头	敲/撞击/敲门声	Someone knocked twice at the door.|He knocked the vase off the shelf.	strike with a short hard blow – 短促地磕上一下	敲：用硬东西短促地打在面上|撞击：力气大到把东西打翻或打坏|敲门声：这个动作发出来的那一串响
know	verb	/nəʊ/	古英语 cnāwan（认得、晓得）← 原始日耳曼语 *knēan ← 原始印欧语 *gnō-	to have information or understanding of something or someone	别人还在翻本子核对，他直接把那串数字说了出来	知道/了解/认识	I know the answer to that.|She has known him for years.	hold a thing firmly in mind – 心里已经把这件事握住了	知道：这件事已经在心里存着|了解：不止存着，还摸清了里头的来龙去脉|认识：见过面，人和名字对得上
label	noun / verb	/ˈleɪbl/	古法语 label（布条、飘带），多认为出自法兰克语 *labba（垂片、破布），日耳曼源	a small piece of paper or cloth telling what a thing is	行李箱把手上系着一小片纸，写着名字和到站	标签/标记/贴标签	Read the label before you wash it.|She labelled each box by room.	a small tag that says what this is – 挂在东西上说明它是什么的小片	标签：贴或系在物件上、写着说明的那小片|标记：泛指用来分辨彼此的记号|贴标签：把这片东西按上去的动作，也指给人下一句定语
lace	noun / verb	/leɪs/	古法语 laz ← 通俗拉丁语 *lacium ← 拉丁语 laqueus（套索、绳圈）	a cord drawn through holes to fasten, or fine openwork fabric	两根绳头交叉穿过一排小孔，拉紧后打一个结	鞋带/花边/系带	Tie your laces before you run.|The collar was trimmed with lace.	a cord drawn through holes – 一根穿过小孔的绳	鞋带：穿过鞋面小孔、用来收紧的那根绳|花边：线绕成镂空网眼的窄条，缝在衣缘上|系带：把这根绳穿好拉紧的那个动作
lack	noun / verb	/læk/	中古英语 lac ← 中古荷兰语或中古低地德语 lak（不足、欠缺）	the state of not having something, or to be without it	水缸底朝天，舀了半天只带上来一点湿泥	缺少/缺乏/短缺	The plants died from lack of water.|He lacks patience with small children.	the hole where something should be – 该有的东西不在那儿	缺少：数量不够，差着一部分|缺乏：长期不够，成了一种状态|短缺：市面上供不上，普遍不够用
lad	noun	/læd/	中古英语 ladde（仆从、少年），更早词源不明	a boy or young man	十六七岁，个子拔高了但肩还窄，跑起来一阵风	小伙子/男孩	The lad delivers papers every morning.|He was a quiet lad at school.	a young male not yet grown into it – 还没长开的年轻男子	小伙子：年纪轻、有力气的那种男性|男孩：更小一点、还没成年的那个
ladder	noun	/ˈlædə/	古英语 hlæd(d)er ← 原始日耳曼语 *hlaidri（斜靠着登高的架子）	a set of steps between two uprights, used for climbing	两根长杆之间横着一排踏脚，斜靠在墙上有点晃	梯子/阶梯/晋升途径	He climbed the ladder to the roof.|She rose fast up the company ladder.	steps taken one at a time – 一级一级往上踩的那个架子	梯子：两杆加横档、能搬来靠上的登高架|阶梯：一级一级往上垫高的那种台阶|晋升途径：职位从低到高排成的那一串位置
lady	noun	/ˈleɪdi/	古英语 hlæfdige：hlāf（面包）+ dige（揉面者），字面「管面包的那位」← 原始日耳曼语	a woman, especially one spoken of with politeness or respect	她进门先摘下手套，说话声音不高，坐下时背是直的	女士/夫人/淑女	A lady asked for you at reception.|She behaved like a proper lady.	the woman who holds the house – 掌着一屋的那位女性	女士：对成年女性客气一点的称法|夫人：有身份或已婚女性的敬称|淑女：举止合规矩、够体面的那一种
lag	verb / noun	/læɡ/	十六世纪先作「游戏里排在最末的人」，可能出自斯堪的纳维亚语，更早词源不明	to move or develop more slowly than others, or the delay itself	队伍前头已经拐弯，最后那个人还停在上一个路口	落后/延迟/滞后	He lagged behind the other runners.|There is a lag between sound and picture.	trailing behind in time – 在时间上掉在后头	落后：位置或进度掉在别人后面|延迟：动作比该来的时候晚了一段|滞后：变化跟不上前因，慢一拍才反应过来
lake	noun	/leɪk/	古法语 lac ← 拉丁语 lacus（水盆、池），与古英语 lacu（小溪）混同后定形	a large body of water surrounded by land	四面是山，中间一片水一动不动，把云整个照进去	湖/湖泊	They swam across the small lake.|The lake freezes over every winter.	still water held in a hollow – 窝在低处不流走的那一片水	湖：陆地凹处积住不流的那片水|湖泊：把这一类水面合起来说的书面叫法
lamb	noun	/læm/	古英语 lamb ← 原始日耳曼语 *lambaz（幼羊）	a young sheep, or its meat	刚生下几天，腿还打颤，紧跟着母亲不肯离半步	羊羔/小羊/羔羊肉	The lamb followed its mother closely.|We had roast lamb for dinner.	the newborn of the flock – 群里刚落地的那一只	羊羔：出生不久、还跟着母亲的那只|小羊：泛指个头没长成的那种羊|羔羊肉：这种幼畜的肉，比成年的嫩
lame	adjective	/leɪm/	古英语 lama（跛的、瘫的）← 原始日耳曼语 *lamon（软瘫无力）	unable to walk properly, or weak and unconvincing	马走三步一沉，右后蹄落地时整个身子往下一歪	瘸的/蹩脚的/站不住脚的	The horse went lame after the race.|He made a lame excuse again.	not able to carry its weight – 撑不住、走不稳	瘸的：腿上有伤，走路一高一低|蹩脚的：东西或本事差，撑不起场面|站不住脚的：理由太软，一推就倒
lamp	noun	/læmp/	古法语 lampe ← 拉丁语 lampas ← 希腊语 lampas（火把）← lampein（发光）	a device that gives light	桌角一圈黄光罩住半张纸，光圈外头全是暗的	灯/台灯/油灯	She switched on the bedside lamp.|The lamp gave off a soft glow.	a made thing that gives light – 人做出来专门发光的那件	灯：泛指人造的发光器具|台灯：摆在桌上只照一小块地方的那盏|油灯：靠烧油出光的老式那种
land	noun / verb	/lænd/	古英语 land（地、国土）← 原始日耳曼语 *landam（一片地）	the solid part of the earth's surface, or to come down onto it	船靠了岸，脚踩上去不再晃，鞋底沾上干土	陆地/土地/降落	The plane landed twenty minutes late.|They own land near the river.	solid ground under the feet – 脚底下踏实的那一片	陆地：地球表面不是水的那部分|土地：能耕能占、算作产业的那块地|降落：从空中或水上回到这一片上头
landlady	noun	/ˈlændleɪdi/	land（地、房产）+ lady（女主人），是 landlord 的女性形式，两成分都出自古英语	a woman who rents out a room or house, or who runs a small inn	月初她准时敲门，手里拿着一本记账的小册子	女房东/女东家	The landlady raised the rent again.|Our landlady lives on the ground floor.	the woman who owns the place you rent – 你租的那处归她	女房东：把自己的房子租给别人的那位女性|女东家：开小旅店或掌着产业的女主人
lane	noun	/leɪn/	古英语 lane / lanu（窄路、篱间小道）← 原始日耳曼语 *lanō	a narrow road, or a marked strip of a road or waterway	两墙之间只够一辆车过，路面被压出两道浅沟	小巷/车道/航道	They walked down a narrow lane.|Stay in the right lane here.	a narrow way with sides to it – 两边夹着的那条窄路	小巷：房子之间夹出来的那条窄路|车道：马路上用白线划出的一条|航道：海上或空中划给船机走的固定通路
language	noun	/ˈlæŋɡwɪdʒ/	古法语 langage ← 拉丁语 lingua（舌头，引申为所说的话）	the system of words a people use to speak and write	两人各说各的，声音都在，谁也接不上对方的话	语言/语文/措辞	She speaks three languages fluently.|The report uses very careful language.	what the tongue turns into shared sense – 舌头上出来、彼此能接住的东西	语言：一群人共用、能互相听懂的那套声音和字|语文：把这套东西当成一门功课来学|措辞：具体说话时挑的字眼和口气
lap	noun	/læp/	古英语 læppa（衣服的褶、下摆）← 原始日耳曼语 *lappon；「舔」那义出自另一个古英语词 lapian	the flat area from waist to knees when seated, or one circuit of a track	她坐下后，衣料在两腿上摊平，孩子就爬上去趴着	膝上/一圈	The cat slept on her lap.|He ran the last lap alone.	cloth folded flat where you sit – 坐下时衣料搭出来的那一片	膝上：坐着时从腰到腿弯那块平面|一圈：绕回原处的一趟，来自布边绕过来搭住的那层意思
laptop	noun	/ˈlæptɒp/	现代复合词：lap（膝上）+ top（上面），字面「架在腿上的那台」	a small computer that can be carried and used anywhere	屏和键盘合起来只有一本书厚，摊开就架在两腿上	笔记本电脑/便携电脑	He works on his laptop at cafes.|My laptop battery died again.	a computer small enough to sit on you – 小到能架在人身上的那种机器	笔记本电脑：合起来像一本书、能整机带走的那种|便携电脑：着重说它随身带得动这一点
lash	verb / noun	/læʃ/	中古英语 lasche（抽打），可能是拟声，更早词源不明	to strike with something thin and flexible, or such a stroke	绳子在空中甩出一道弧，落下时留下一条红痕	鞭打/猛击/眼睫毛	Rain lashed against the windows.|She wore mascara on her lashes.	a thin flexible thing coming down – 一条又细又软的东西抽下来	鞭打：用细长的东西狠抽|猛击：风雨那样一下下打在物面上|眼睫毛：眼睑边上那排细毛，形状就像细鞭
laugh	verb / noun	/lɑːf/	古英语 hlæhhan ← 原始日耳曼语 *hlahjan，拟声，模仿的就是那串音	to make sounds and movements showing amusement	他仰头张着嘴，肩膀一抽一抽，眼角挤出泪来	笑/大笑/笑声	Everyone laughed at his silly hat.|She has a loud, happy laugh.	the sound the body lets out when amused – 觉得好玩时身体放出来的声	笑：脸和喉咙一起做出的那个反应|大笑：声音大、一时收不住的那种|笑声：这个动作发出来的那阵响
launch	verb / noun	/lɔːntʃ/	古北法语 lancher ← 晚期拉丁语 lanceare（挥矛投出）← 拉丁语 lancea（长矛）	to send something forth with force, or to start something new	尾部喷出白烟，整个东西离开架子直往上去	发射/发动/下水	They launched the rocket at dawn.|The company launched a new phone.	hurl a thing out on its way – 把东西送出去、让它上路	发射：把物体猛地推出去，多说火箭导弹|发动：一件事被推出去，开始进行|下水：新船头一回被推进水里
laundry	noun	/ˈlɔːndri/	中古英语 lavendry ← 古法语 lavanderie ← 拉丁语 lavare（洗）	clothes that need washing, or a place where they are washed	篮子里堆着换下来的衣服，旁边一台机器正在转	待洗衣物/洗衣店/洗衣	She does the laundry on Sundays.|Drop your laundry at the front desk.	clothes gathered up for water – 攒起来准备过水的那些衣物	待洗衣物：换下来堆着等着下水的那一堆|洗衣店：替别人做这件事的那间铺子|洗衣：把衣物过水搓净的这桩活
lavatory	noun	/ˈlævətri/	晚期拉丁语 lavatorium（洗涤处）← 拉丁语 lavare（洗）	a room with a toilet and a basin	机舱尾部一扇窄门，门上小牌翻到了红的那面	厕所/盥洗室/洗手间	The lavatory is at the end of the corridor.|He asked where the lavatory was.	the room for washing and relieving – 让人洗手和方便的那一间	厕所：供人解手的那个房间|盥洗室：里头带盆能洗手洗脸，说法更文些|洗手间：公共场所对同一处客气的叫法
law	noun	/lɔː/	晚期古英语 lagu ← 古诺斯语 *lagu（放下、定下的东西）← 原始日耳曼语 *lag-（放置），与 lay 同源	a rule laid down by authority, or a regularity found in nature	墙上钉着一张纸，写明什么不许做，底下盖着红印	法律/法规/定律	The new law takes effect in June.|Newton's laws describe how bodies move.	what has been laid down to follow – 摆下来要人照办的那一条	法律：国家定下、人人必须守的成文条文|法规：具体到某一行某一事的那些规定|定律：自然界里反复验证、不出例外的那条
lawn	noun	/lɔːn/	早期作 laund ← 古法语 lande（荒野、林中空地），源出高卢语或日耳曼语	an area of short grass kept trimmed	一片草被剪得齐平，边上留出深浅相间的条纹	草坪/草地	He mows the lawn every weekend.|The children played on the lawn.	grass kept short and open – 剪短了摊开的那一片草	草坪：人工修剪维护的那片平整草面|草地：泛指长着草的地面，不一定修过
lawyer	noun	/ˈlɔːjə/	中古英语 lawier：law（法）+ -yer（从事者）；law ← 古诺斯语 lagu（定下的东西）	a person whose work is advising on and arguing cases at law	他拎着一只鼓鼓的皮包进门，替坐在旁边的人开口说话	律师/法律顾问	She hired a lawyer last week.|The lawyer read out the contract.	one whose trade is the law – 靠法条吃饭的那个人	律师：受人委托、在法庭上替人说话的人|法律顾问：长期给公司或个人出法律主意的那个角色
lay	verb	/leɪ/	古英语 lecgan（使躺下、放平）← 原始日耳曼语 *lagjan，是 lie（躺）的使动形	to put something down carefully in a flat position	他双手托着那块板，慢慢放平，松手前还按了一下	放置/铺设/产卵	Lay the baby on the blanket.|The hen lays an egg each day.	put a thing down flat – 把东西平着放下去	放置：把物件放到某处，让它待在那儿|铺设：一件件平放开，连成一片|产卵：把蛋下出来，放在窝里
layer	noun	/ˈleɪə/	lay（放）+ -er，指放下去形成的那一片；lay ← 古英语 lecgan ← 原始日耳曼语 *lagjan	one thickness of material lying over or under another	切开来看，从上到下颜色一道一道，各不相同	层/一层/层次	The cake has three layers.|Wear a thin layer under your coat.	one thickness laid over another – 平铺在另一样上头的那一片	层：平铺着叠在一起的其中一片|一层：数出来的单独那一片|层次：这些片由外到里排开的那种关系
layoff	noun	/ˈleɪɒf/	现代复合词：lay（放下）+ off（离开），字面「把人从活上撂开」	the ending of a worker's job, usually because there is no work	工厂门口贴出一张名单，上头的人第二天不用来了	解雇/裁员/停工期	The factory announced two hundred layoffs.|He found work after a long layoff.	putting workers aside from the job – 把人从活上撂下来	解雇：单位不再雇这个人了|裁员：成批地把人从岗位上撤下来|停工期：活停下来、人闲着的那一段时间
lazy	adjective	/ˈleɪzi/	十六世纪出现，可能来自中古低地德语 laisch（松弛无力），更早词源不明	unwilling to work or use energy	太阳都到头顶了，他还摊在椅子上，一只脚搭着桌沿	懒惰的/懒散的/慢悠悠的	He is too lazy to cook.|We spent a lazy afternoon reading.	unwilling to stir or spend force – 不愿动、不愿使力	懒惰的：该做事时不肯出力|懒散的：没规矩、松松垮垮的那种状态|慢悠悠的：动作和节奏都拖着，一点不着急
lead	verb / noun	/liːd/	古英语 lǣdan（引路、带走）← 原始日耳曼语 *laidjan（使上路）；金属那义出自另一个古英语词 lēad，同形不同源	to go in front so that others follow, or a clue that points the way	他走在最前头，手里的灯照出一段路，后面的人踩着他的脚印	带领/领先/线索	She led the group through the woods.|Police are following a new lead.	go first so others can follow – 走在前头让人跟着	带领：走在前面把人带到某处|领先：位置或成绩排在别人前头|线索：能把人一路引到答案那儿的一头
leaf	noun	/liːf/	古英语 lēaf ← 原始日耳曼语 *laubam（叶、簇叶）	a flat green part growing from a stem, or a sheet of a book	薄薄一片绿，正面亮背面糙，捏住梗一转就翻过来	叶子/树叶/一页	A dry leaf fell on the path.|He turned to the next leaf.	a thin flat sheet grown out – 长出来的那么一张薄片	叶子：植物枝上长出的那种薄片|树叶：专指树上那些|一页：书里同样薄、同样平的一张
leaflet	noun	/ˈliːflət/	leaf（叶、张）+ -let（小），字面「小叶子」；leaf ← 古英语 lēaf ← 原始日耳曼语 *laubam	a printed sheet or small folded booklet given out free	路口有人往每只手里塞一张对折的薄纸，上面印着地址	传单/小册子/宣传单	They handed out leaflets outside the station.|Read the leaflet inside the box.	a small printed sheet passed around – 递来递去的那一小张印品	传单：街头散发、印着消息的单张纸|小册子：几页折在一起、稍厚一点的那种|宣传单：为推销或告知而印出来的那张
leak	verb / noun	/liːk/	中古英语 leken ← 中古荷兰语 leken（滴漏）或古诺斯语 leka ← 原始日耳曼语 *lek-	to let liquid, gas or secret information escape through a gap	天花板上一个暗点越摊越大，地上接的盆里滴答有声	漏/渗漏/泄露	The old pipe leaks every winter.|Someone leaked the report to the press.	escape through a small gap – 从一道小口子上跑出去	漏：液体或气体从缝里跑出来|渗漏：慢慢往外冒、一时不易察觉的那种|泄露：消息像水那样从缝里传出去
lean	verb / adjective	/liːn/	古英语 hleonian（倾身、斜靠）← 原始日耳曼语 *hlinen；形容词「瘦」出自古英语 hlǣne，同形不同源	to slope or rest against something, or having little fat	他把肩膀搭在门框上，身子斜着，肋骨的形状看得出来	倚靠/倾斜/瘦的	He leaned against the garden wall.|She prefers lean meat to fat.	tilt onto something, nothing to spare – 斜着靠上去，身上没多余的	倚靠：把重量搭在别的东西上|倾斜：整个身子或物体偏离竖直|瘦的：肉少没赘余，这一义另有来源，只是同形
leap	verb / noun	/liːp/	古英语 hlēapan（跳、奔）← 原始日耳曼语 *hlaupan	to jump a distance, or a sudden large increase	两脚同时离地，越过那道沟，落地时膝一弯卸掉力	跳跃/跃过/骤增	The cat leaped onto the wall.|Prices took a leap last month.	throw the body clear of the ground – 整个人离地过去	跳跃：两脚离地往前或往上的那个动作|跃过：从这边一下到那边，中间不落地|骤增：数字一下蹿上去，像凌空过去一样
learn	verb	/lɜːn/	古英语 leornian（求知）← 原始日耳曼语 *liznojan（循着痕迹走）	to gain knowledge or skill by study or experience	同一段谱子弹了二十遍，第二十一遍手指不用看就走对了	学习/学会/得知	She learned Spanish in two years.|I learned of his death yesterday.	follow a track until you have it – 一路跟着走，直到拿到手	学习：反复跟着练、往脑子里装的那个过程|学会：练到能自己做出来的那一刻|得知：一条消息进到你这儿，等于新收下一样东西
learned	adjective	/ˈlɜːnɪd/	由 learn 的过去分词转成形容词；learn ← 古英语 leornian ← 原始日耳曼语 *liznojan（循迹）	having much knowledge from long study, or acquired rather than inborn	书架从地面顶到天花板，他随口报出两百年前的一段原话	有学问的/博学的/学到的	He is a learned old professor.|These habits are learned, not inborn.	filled up by long study – 学得久了，里头装满了	有学问的：读得多，腹中有货|博学的：涉及的门类广，样样都说得出|学到的：不是生来带着，是后来练出来的
learning	noun	/ˈlɜːnɪŋ/	古英语 leornian（求知、读书）← 原始日耳曼语 *liznōjan（追随足迹、摸索出门道）	knowledge or skill gained through study or experience	桌上摊着写满的本子，同一道题的解法改了三遍，最后一遍不再划掉	学习/学问/学识	Learning a language takes years of practice.|The school values learning above test scores.	taking in what you did not have before – 把原先没有的东西装进自己	学习：一点点把不会的变成会的那个过程|学问：积攒下来的成套知识|学识：一个人身上带着的见识深浅
least	adjective / adverb	/liːst/	古英语 lǣst（最小的）← 原始日耳曼语 *laisista，是 lǣssa（更小）的最高级	smallest in amount, degree, or importance	一排价签里挑出最下面那个数，别的都比它大	最少的/最小的/最不	Choose the least expensive option here.|She worried least about the money.	the bottom end of the scale – 一列里排在最下面那一档	最少的：数量上没有比它更小的|最小的：程度或分量上垫底的那一份|最不：几项相比里最够不上的那一项
leather	noun	/ˈleðə/	古英语 leþer（兽皮）← 原始日耳曼语 *leþran（剥下并处理过的兽皮）	material made from animal skin by tanning	新鞋帮子上压出一道折痕，凑近闻有股鞣过的兽味	皮革/皮子	The jacket is made of soft leather.|Leather lasts longer than cloth.	animal skin cured into a tough sheet – 兽皮泡制成结实的一张	皮革：制成品上那层结实的兽皮|皮子：还没做成东西的原料本身
leave	verb / noun	/liːv/	古英语 lǣfan（留下、遗下）← 原始日耳曼语 *laibijan（使剩下）	to go away from a place, or to let something remain	人走了，桌上那杯茶还剩一半，热气正散	离开/留下/休假	She left the office at six.|He left his keys on the table.	going off and letting the rest stay – 自己走开，剩下的原样搁着	离开：人从一个地方挪走|留下：走时没带走的那部分还在原处|休假：把工作暂时搁下，人不在岗
left	adjective / adverb / noun	/left/	古英语 lyft（软弱的、不中用的），原指不常使力的那只手	on or towards the side of the body opposite the right	写字的那只手在这边，另一只只按着纸角	左边的/左侧/向左	Turn left at the traffic lights.|He writes with his left hand.	the side away from the writing hand – 与惯用手相反的那一侧	左边的：位置在那一侧的|左侧：那一侧本身，作方位名词|向左：动作朝那一侧去
leisure	noun	/ˈleʒə/	古法语 leisir（被允许做的事）← 拉丁语 licere（被允许、可以）	free time when you are not working	活干完了，下午整段空着，想翻书就翻书，想坐着就坐着	闲暇/空闲/悠闲	He reads a lot in his leisure.|They ate at leisure by the river.	time nobody has claimed – 没人来占的那段时间	闲暇：手上没活、可以自己支配的那段|空闲：日程上空出来的那一块|悠闲：不赶不催、慢着来的那种状态
lemon	noun	/ˈlemən/	古法语 limon ← 阿拉伯语 laymūn ← 波斯语 līmūn（柑橘类果实）	a yellow citrus fruit with sour juice	刀切下去汁水呛出来，闻着冲，牙关不由自主一紧	柠檬/柠檬色	Squeeze some lemon over the fish.|The walls were painted pale lemon.	sour yellow fruit that puckers the mouth – 酸得让嘴发紧的黄果子	柠檬：那种皮厚、汁极酸的黄果|柠檬色：果皮那种淡而亮的黄
lend	verb	/lend/	古英语 lǣnan（暂借出）← lǣn（借出之物）← 原始日耳曼语 *laihwniz	to give something to someone for a time, expecting it back	把伞塞给同事，自己淋着雨跑，心里记着这伞得还回来	借出/出借/给予	She lent me her pen for a moment.|The bank lends money to farmers.	handing over on the understanding it comes back – 交出去，但说好要回来	借出：东西给出去，所有权还在自己手里|出借：把手上的东西暂时让人用|给予：把力气或支持递过去，像帮衬一把
length	noun	/leŋθ/	古英语 lengþu（长的量）← lang（长）＋-þu（抽象名词后缀）← 原始日耳曼语 *langiþō	the measurement of something from end to end	拿尺子从这头量到那头，中间还得挪一次尺	长度/长短/一段	The pool is fifty metres in length.|Cut the rope to the right length.	how far it reaches from end to end – 从一头到另一头有多远	长度：量出来的那个数|长短：两样东西相比谁更够得着|一段：从整条上截下来的那一节
