anything	pronoun	/ˈeniθɪŋ/	古英语 ǣnig þing（任一件东西），any + thing 的合成	any object, event or matter at all	桌上摊开一堆零碎，他说随便挑，哪一件都行	任何事物/任何东西	We did not hear anything last night.|You can ask me anything you like.	no matter which one of them, it will do – 里头哪一件都算，不用挑定	任何事物：哪一件都算、不加挑选的那个|任何东西：同一个不挑，落在具体物件上
arise	verb	/əˈraɪz/	古英语 ārīsan（起身、升起），ā-（出）+ rīsan（升起）← 原始日耳曼语 *reisan	to come into being or come up, as a question or a person	水面本来平的，底下咕嘟一下，一串泡冒到上面来	出现/产生/起身	A problem arose during the test.|He arose before the sun.	something coming up from below into view – 底下的东西一路冒到面上来	出现/产生：底下的东西冒到面上来|起身：人从坐卧里往上升起那一下
arm	noun	/ɑːm/	古英语 earm（臂）← 原始日耳曼语 *armaz（臂）	the limb that reaches out from the shoulder to the hand	他从肩上把那截伸出去，够到最高一格的书	手臂/臂状物/分支	He broke his left arm last winter.|She sat on the arm of the chair.	the part that reaches out from the shoulder to fetch things – 从肩上伸出去、替你够东西的那一截	手臂：从肩往外伸、能够着东西的那一截|臂状物：椅子和吊车上像它那样伸出的一截|分支：从主干伸出去的那一条，同一个伸法
army	noun	/ˈɑːmi/	古法语 armee ← 拉丁语 armata（武装起来的队伍）← arma（武器）	a large body of people trained and armed to fight on land	土路上尘土起了一片，成千人踩着同一个步子过来	军队/陆军/大群	The army moved north at dawn.|An army of ants crossed the path.	thousands of feet coming down on one beat – 成千只脚踩在同一个点上	军队/陆军：成千人持械、踩同一步子在地面上的那群|大群：数目多到像那样成阵走过的东西
around	preposition / adverb	/əˈraʊnd/	中古英语 a-（在）+ round（一圈）← 古法语 rond ← 拉丁语 rotundus（圆的）	on every side of something, or roughly	孩子们手拉手把树圈起来，绕着它一圈一圈跑	围绕/四周/大约	She wrapped a scarf around her neck.|He arrived around six in the evening.	following the full circle back to where you started – 沿着一整圈走回原处	围绕：贴着一整圈走的那个动作|四周：那一圈所占的位置|大约：数字上画个圈，不咬死某一点
arouse	verb	/əˈraʊz/	英语 a-（加强）+ rouse（惊起），仿 arise 造出，rouse 本身词源不确	to stir something up, or to wake someone from sleep	一声铃响，睡着的人翻身坐起，屋里都开始动	唤起/激起/唤醒	His question aroused our interest.|The noise aroused her at midnight.	one noise and the sleeping thing sits up – 响一下，本来睡着的就翻身坐起来	唤起/激起：本来静着的东西被弄得动起来|唤醒：同一下用在睡着的人身上
arrange	verb	/əˈreɪndʒ/	古法语 arengier（排成行）← a-（向）+ rang（行列），rang 出自法兰克语 *hring（环）	to put things in order, or to plan something in advance	她把桌上的碗一只只挪正，边和边对齐才停手	安排/整理/排列	He arranged the books by size.|We arranged to meet on Friday.	moving each thing until the edges line up – 一件件挪到边对齐才罢手	安排：把事一件件摆到该在的位置|整理：把散着的挪正、对齐|排列：让它们成行成列地对上
array	noun	/əˈreɪ/	古法语 areer（备置、列阵）← 通俗拉丁语 *arredare，含日耳曼语 *raidiz（就绪）	an ordered set of things, or a large group put on show	屋顶上一格格的板子铺满，横成行竖成列，一眼看不到边	阵列/一大批/盛装	An array of tools hung on the wall.|The shop offers a wide array of colours.	things set out in rows and columns until they fill the view – 成行成列摆开，铺满整片	阵列：成行成列摆开的那一片|一大批：那一片里数目多到看不见边|盛装：把人也这样齐整摆开、穿戴齐全
arrive	verb	/əˈraɪv/	古法语 ariver（到岸）← 通俗拉丁语 *arripare ← ad ripam（到岸边）	to reach a place at the end of a journey	船头一擦上码头，绳子扔过去套住桩子	到达/抵达/得出	They arrived at the station late.|We arrived at a fair price.	the hull touching the bank and the rope going over the post – 船身贴上岸，绳子套住桩	到达/抵达：走完一段，船身贴上岸那一下|得出：想完一路，落到某个结论上
arrogant	adjective	/ˈærəɡənt/	古法语 arrogant ← 拉丁语 arrogare（僭称、擅取）← ad-（向）+ rogare（索求）	behaving as if better than other people	他下巴抬着，眼皮往下扫一圈，谁伸手他都不接	傲慢的/自大的	His arrogant tone annoyed everyone.|She is too arrogant to ask for help.	the chin up, the eyes coming down, no hand taken – 下巴抬起来，眼往下扫，谁的手也不接	傲慢的：下巴抬着、把旁人扫在眼皮底下|自大的：同一副姿态里，把自己摆得比谁都高
arrow	noun	/ˈærəʊ/	古英语 arwe（箭）← 原始日耳曼语 *arhwō（属于弓的东西）	a thin shaft shot from a bow, or a sign shaped like one	弦一松，细杆嗖地钻出去，尾羽还在抖	箭/箭头/指向标	The arrow struck the outer ring.|Follow the red arrows to the exit.	the thin shaft the string throws straight out – 弦一放，那根细杆直直钻出去	箭：弦放开后直直飞出的那根细杆|箭头：画成它那个样子的记号|指向标：借它的尖朝哪，告诉你往哪走
ascend	verb	/əˈsend/	拉丁语 ascendere（登上）← ad-（向）+ scandere（攀）	to go up or climb to a higher place	石阶一级一级往上，人越走越小，最后只剩个点	上升/攀登/登上	The path ascends steeply from here.|Smoke ascended from the chimney.	going up one step at a time until you are only a dot – 一级一级往上，人小成一个点	上升：位置一级级往高处走|攀登：手脚并用往上走那一段|登上：走到高处、站上去那一下
ash	noun	/æʃ/	古英语 æsce（灰）← 原始日耳曼语 *askōn（烧剩之物）	the soft powder left after something has burned	火塘熄了，剩一堆软白的粉，风一吹就散开	灰/灰烬/骨灰	Ash covered the whole floor.|They scattered his ashes at sea.	the soft pale powder left after the fire goes out – 火熄之后剩下的那堆软白粉末	灰/灰烬：烧完剩下的那堆软白粉末|骨灰：人烧过之后剩下的同一种东西
ashamed	adjective	/əˈʃeɪmd/	古英语 āscamod（羞愧的），ā-（完全）+ scamu（羞耻）← 原始日耳曼语 *skamō	feeling bad about something you have done	话一说穿，他把脸转向墙，耳根红到脖子	羞愧的/惭愧的	He was ashamed of his own laziness.|She felt ashamed to ask again.	the face turning to the wall and the ears going red – 脸转向墙去，耳根一路红下来	羞愧的：脸转开、耳根发红那一下|惭愧的：同一下对着别人的好，觉得自己不该
ashore	adverb	/əˈʃɔː(r)/	英语 a-（在、向）+ shore（岸），shore 出自中古英语 schore，与 shear（切开）同源	on or onto the land from the water	浪把木箱一路推到沙滩上，水退了它还留在那儿	上岸/在岸上	The crew went ashore for supplies.|A whale was washed ashore last night.	pushed out of the water onto dry sand and left there – 被水推到干沙上，水退了还留着	上岸：从水里挪到干地上那一下|在岸上：挪过去以后待着的那个位置
ask	verb	/ɑːsk/	古英语 āscian（询问）← 原始日耳曼语 *aiskōn（寻求）	to put a question to someone, or to say you want something	他探头进门，手指着桌上那本，眉毛往上一挑	问/请求/要求	She asked me where I lived.|He asked for more time.	leaning in with a raised brow, waiting for it to be handed over – 探进头、眉一挑，等对面给出回应	问：把话递过去、等对面接的那一下|请求：递过去的是想要的东西，等人给|要求：同一下说得硬些，等人照办
asleep	adjective	/əˈsliːp/	中古英语 aslepe，古英语 on slæpe（在睡中），slæp ← 原始日耳曼语 *slēpaz	sleeping, or having lost feeling	书摊在胸口，眼睛闭着，呼吸慢得数得清	睡着的/麻木的	The baby is asleep upstairs.|My foot has gone asleep.	eyes shut and the breathing slow enough to count – 眼闭着，呼吸慢到能数	睡着的：眼闭着、呼吸慢下来那个状态|麻木的：手脚像也进了那个状态，掐着没感觉
assemble	verb	/əˈsembl/	古法语 assembler（聚到一处）← 通俗拉丁语 *assimulare ← ad-（向）+ simul（一同）	to come together, or to put parts together into a whole	散在地上的零件被一件件拼到一起，最后成了一台	集合/装配/聚集	The crowd assembled outside the hall.|He assembled the shelf in an hour.	separate pieces brought together until they make one thing – 散着的一件件凑到一处，成了一整个	集合/聚集：散着的人凑到一处|装配：散着的零件凑成一整台
assembly	noun	/əˈsembli/	古法语 assemblee（集会）← assembler（聚到一处）← 拉丁语 ad-（向）+ simul（一同）	a group gathered in one place, or the act of putting parts together	大厅里椅子排满，人陆续坐进去，前头台上放着一支话筒	集会/议会/装配	The whole school met in assembly.|The assembly voted on the bill.	the hall where the scattered ones sit down together – 散着的人坐进同一个厅里	集会：人凑到一处坐下的那一场|议会：定下来常聚、开口议事的那一群|装配：把散件凑成一整台的那道活
asset	noun	/ˈæset/	盎格鲁法语 asetz（够抵债的财物）← 古法语 assez（足够）← 通俗拉丁语 ad satis（到够为止）	something valuable that a person or company owns	他把房本车钥匙存单摊在桌上，说这些都能换出钱来	资产/财产/优势	The house is their largest asset.|Her patience is a real asset here.	the things you can lay on the table that will turn into money – 摊得上桌、能换出钱来的那些东西	资产/财产：能摊上桌、换得出钱的那些东西|优势：人身上那样能换来好处的一条
assure	verb	/əˈʃʊə(r)/	古法语 asseurer（使安心）← 通俗拉丁语 assecurare ← ad-（向）+ securus（安全的）	to tell someone firmly that something is true or will happen	他两手按住对方的肩，眼睛不躲，说这事有他在	使确信/保证/担保	He assured me the road was open.|Nothing can assure success here.	a hand on the shoulder that takes the worry off you – 手按在肩上，把那份不安接过去	使确信：把对方心里的不安按下去|保证：把话说定，出了事由自己顶|担保：拿自己垫在别人后头，替他兜住
astonish	verb	/əˈstɒnɪʃ/	中古英语 astonien ← 古法语 estoner（如遭雷击）← 通俗拉丁语 *extonare ← ex-（出）+ tonare（打雷）	to surprise someone very much	幕布一拉开，台下人张着嘴半天没合上，手停在半空	使惊讶/使震惊	The result astonished his teachers.|It astonishes me that he agreed.	mouths left open and hands stopped in mid-air – 嘴张着合不上，手停在半空	使惊讶：嘴张着合不上、手停在半空|使震惊：同一下更重，像被雷从头顶打下来
athlete	noun	/ˈæθliːt/	拉丁语 athleta ← 希腊语 athlētēs（竞赛者）← athlon（奖赏、比试）	a person trained to compete in physical sports	起跑线上他绷成一张弓，枪一响就没了影	运动员/选手	She trained as an athlete for years.|The athletes lined up for the final.	the body coiled on the line, gone the instant the gun goes – 起跑线上绷紧的那身，一响就不见	运动员：为比试而练出来的那身筋骨|选手：站上线去跟人争高下的那个
atom	noun	/ˈætəm/	拉丁语 atomus ← 希腊语 atomos（不可切分的），a-（不）+ temnein（切）	the smallest unit of a chemical element	一块铁被切了千万次，最后剩下再也切不开的那点	原子/微粒	Water is made of three atoms.|There is not an atom of truth in it.	the last bit left when nothing can be cut any smaller – 切到再也切不开的那一点	原子：切到再也切不开的那一点物质|微粒：小到几乎不占地方的那么一点
attach	verb	/əˈtætʃ/	古法语 atachier（钉住、系住）← a-（向）+ tache（钉、扣），tache 或出自法兰克语	to fix one thing onto another	他把标签往箱子上一按，又拿钉子从边角钉牢	附上/系上/贴上	Attach the note to the front door.|He is deeply attached to his dog.	pinning one thing onto another so it will not come off – 用钉把一件按在另一件上，弄不下来	附上：把一件按到另一件上、跟着走|系上：用绳扣把两件连住|贴上：让面和面按住，不再分开
attack	verb / noun	/əˈtæk/	法语 attaquer ← 意大利语 attaccare（挂上、交战）	to use force against someone, or a sudden bout of illness	对面的人忽然从矮墙后冲出来，第一拳已经落到肩上	攻击/进攻/发作	They attacked the camp before dawn.|He had a heart attack last year.	coming out from cover and landing the first blow – 从掩体后冲出来，第一下已经落上	攻击/进攻：从藏处冲出、把第一下打上去|发作：病像那样忽然扑上来的一阵
attitude	noun	/ˈætɪtjuːd/	法语 attitude ← 意大利语 attitudine（姿态）← 晚期拉丁语 aptitudo（适合）← aptus（合适的）	the way someone thinks or behaves towards something	他往椅背上一靠，两臂交在胸前，下巴偏向一边	态度/看法/姿势	Her attitude to work has changed.|He stood in a defiant attitude.	the way the body is set, which tells you where the person stands – 身子摆成的那个样子，摆明了他站哪边	态度：身子和语气摆出来的那个朝向|看法：那个朝向背后认定的东西|姿势：身体摆成的那个样子，本义
attorney	noun	/əˈtɜːni/	古法语 atorne（受委派者）← atorner（指派、转交）← a-（向）+ torner（转）	a person appointed to act for another, especially in law	他签了一张纸，从此别人可以替他到法庭上开口	律师/代理人	Her attorney filed the papers today.|He signed a power of attorney.	the one your business is turned over to, who speaks in your place – 事情转交给他，由他替你开口	律师：受人委托、在法庭上替他开口的那个|代理人：事情转到他手上、由他出面办的那个
augment	verb	/ɔːɡˈment/	古法语 augmenter ← 晚期拉丁语 augmentare（增大）← augere（增长）	to make something larger by adding to it	他往已经满的碗里又添了两勺，堆得高出碗口	增加/扩大/增强	He augments his income with night work.|They augmented the choir with ten voices.	putting more onto what is already full – 在已经满的上头再添	增加：在原有的上头再添一些|扩大：添到边界往外挪|增强：添的是力气，原来那份变得更硬
august	adjective	/ɔːˈɡʌst/	拉丁语 augustus（尊崇的、神圣的）← augere（增益）	inspiring respect because of high rank or dignity	他一进厅，说话的人都放低了声音，自动让出中间那条道	威严的/庄严的/尊贵的	They met in an august old hall.|He came from an august family.	the one whose entrance makes the room lower its voice – 他一进来，满屋自动把声音压下去	威严的：一到场旁人自动放低声音|庄严的：那份重量落在场合和屋宇上|尊贵的：地位高到旁人先让路的那种
aunt	noun	/ɑːnt/	古法语 ante（姑姨）← 拉丁语 amita（父亲的姊妹）	the sister of your father or mother, or your uncle's wife	逢年过节来的那个女人，跟母亲一个鼻子，进门就往厨房走	姑姑/姨妈/伯母	My aunt lives near the station.|She stayed with her aunt all summer.	the woman with your mother's face who is not your mother – 长着母亲那张脸、却不是母亲的那个女人	姑姑：父亲那边的姊妹|姨妈：母亲那边的姊妹|伯母：伯父娶进来的那位，同一辈的称呼
aural	adjective	/ˈɔːrəl/	拉丁语 auris（耳）+ -al，19 世纪造出的词	relating to the ear or to hearing	考场上只发一副机子，答案全靠从里头听出来	听觉的/耳的	The test includes an aural section.|He has excellent aural memory.	taking it in through the ear alone, with nothing on paper – 只从声音那一路进来，纸面上没有东西	听觉的：靠声音进来、不经眼睛的那一路|耳的：与那个器官本身有关
auto	noun	/ˈɔːtəʊ/	英语截短自 automobile，auto- 出自希腊语 autos（自己）	a car, or something that works by itself	四个轮子的铁盒子停在路边，钥匙一拧自己就跑起来	汽车/自动装置	He washed the auto in the drive.|The camera is set to auto.	the four-wheeled box that moves under its own power – 四个轮子的铁盒，靠自己动起来	汽车：四轮铁盒、不用马拉自己会走|自动装置：不用人插手、自己照着做的那一套
autonomy	noun	/ɔːˈtɒnəmi/	希腊语 autonomia（自立法度）← autos（自己）+ nomos（法）	the right to govern or decide for oneself	这个岛自己定规矩自己收税，海那边管不到	自治/自主权	The region was granted full autonomy.|Teachers want more autonomy here.	making your own rules with no one across the water to answer to – 自己定自己的规矩，别人插不上手	自治：自己定规矩、自己管自己那一片|自主权：手里那份不用请示别人的决定权
autumn	noun	/ˈɔːtəm/	古法语 autompne ← 拉丁语 autumnus（秋，更早词源不明）	the season between summer and winter	树下积了一层黄叶，风一过就往墙角滚，白天短了一截	秋天/秋季	The trees turn red in autumn.|She was born one autumn morning.	the leaves on the ground and the daylight getting shorter – 地上积起落叶，白天一天短一截	秋天/秋季：叶落地、白天变短的那一段时候
avenue	noun	/ˈævənjuː/	法语 avenue（通道）← avenir（走近）← 拉丁语 advenire（到来）	a wide street, often with trees, or a way of doing something	两排树夹着一条直路，一眼望到尽头的那座楼	大街/林荫道/途径	They live on a quiet avenue.|We explored every avenue for funding.	the straight tree-lined way that brings you up to the house – 两排树夹着的直路，一直通到门前	大街：城里那条宽而直的路|林荫道：两排树夹着的同一条路|途径：把这条路挪来说做事可走的路子
average	noun / adjective	/ˈævərɪdʒ/	古法语 avarie（海损分摊）← 阿拉伯语 ʿawārīya（受损的货物）	the result of sharing a total out equally, or ordinary	一堆高低不齐的沙子被刮板抹过，堆成一样厚的一层	平均/平均数/普通的	The average of the three is nine.|He is an average student in maths.	the uneven heap scraped flat so every part is the same depth – 高低不齐的一堆抹开，处处一样厚	平均/平均数：把总数摊开、处处一样厚的那个数|普通的：正好落在那一层上，不高不低
avoid	verb	/əˈvɔɪd/	古法语 esvuidier（腾空、清出）← es-（出）+ vuide（空的）	to keep away from something or stop it happening	路中间一个坑，他脚一偏，从边上绕了过去	避免/躲开/回避	He avoided the puddle on the path.|She avoids talking about money.	stepping off the line so the hole passes by you – 脚一偏，让那个坑从旁边过去	避免：不让那件事碰上自己|躲开：身子一偏，让它从旁边过|回避：话头递到跟前，绕开不接
await	verb	/əˈweɪt/	盎格鲁法语 awaitier（守望）← a-（向）+ waitier（看守），waitier 出自法兰克语 *wahtōn	to wait for something to come or happen	她坐在门边椅子上，眼睛盯着门缝，一动不动到天黑	等待/等候	A letter awaits you at home.|They await the court's decision.	sitting where it will come in, eyes on the door, not moving – 守在它要进来那个口上，眼不离门	等待/等候：守在它要来的那个口上不动
