phrase	借自晚期拉丁语 phrasis（措辞）← 希腊语 phrasis（表达方式），源自 phrazein（说出）	a small group of words used together	短语/说法	This phrase appears twice on the page.|He repeated the same phrase all evening.	a small group of words taken as one – 当成一体用的一小组词	短语：合起来用的几个词|说法：某种特定的措辞方式	一句话里有几个词被下划线连成一小组		
picnic	借自法语 pique-nique	a meal eaten outdoors away from home	野餐	They had a picnic beside the lake.|Rain ruined our picnic that afternoon.	a meal carried out and eaten outdoors – 带出去在野地吃的一餐		草地铺开一块方格布，篮子里取出面包与水果		
picture	中古英语 picture ← 拉丁语 pictūra（绘画），源自 pingere（画）	a drawing, painting or photograph of something	图画/照片	A picture of the harbour hung there.|She drew a picture of her house.	a painted or captured likeness – 画出或摄下的形象	图画：画出来的形象|照片：用相机摄下的形象	木框里嵌着一幅上了色的平面图样，挂在墙上		
pierce	中古英语 perce ← 古法语 percier ← 俗拉丁语 *pertūsiō ← 拉丁语 pertundere（凿穿），由 per-（穿过）＋ tundere（捶打）构成	to make a hole through something with a sharp point	刺穿	The nail pierced the thin metal sheet.|A splinter pierced his left palm.	to drive a point right through – 用尖端一直捅过去		尖锥压进皮革，另一面顶出一个圆孔		
pig	中古英语 pigge（幼猪）← 古英语 *picga，或为原始西日耳曼语 *pūk（猪）的指小形	a farm animal with a broad snout kept for meat	猪	The farmer keeps twelve pigs here.|Pigs rooted through the muddy pen.	a broad-snouted animal raised for meat – 用宽扁鼻拱食、为肉而养的家畜		圈里的动物用扁平鼻子拱开泥土找食		
pigeon	中古英语 pygeoun ← 古法语 pyjon ← 晚期拉丁语 pīpiōnem（雏啼之鸟），源自 pīpiāre（啾鸣），拟声起源	a common grey bird often seen in towns	鸽子	Pigeons gathered around the fountain again.|A pigeon landed on the window ledge.	a grey town bird named from its cheeping – 因啾声得名的灰色城居鸟		广场石板上一群灰鸟点头啄食，颈羽泛着紫绿		
pilgrim	中古英语 pilegrim ← 古英语 pilegrīm ← 古法语 pelegrin ← 拉丁语 peregrīnus（外来者）	a person who travels to a holy place	朝圣者	Pilgrims walked the last mile barefoot.|Each pilgrim carried very little baggage.	a traveller from afar to a sacred place – 远道前往圣地的人		背着行囊的人沿石阶一步步上山，手里握着杖		
pillow	中古英语 pilwe ← 古英语 pyle ← 原始西日耳曼语 *pulwī ← 拉丁语 pulvīnus（软垫），与 pulvis（尘）有关	a cloth bag filled with soft material for the head	枕头	He fluffed the pillow before lying down.|She put a pillow behind her back.	a soft-filled bag to rest the head – 填软物供托头的布袋		床头放着一只鼓起的布袋，中间被压出凹痕		
pioneer	借自中古法语 pionnier（原指开路的步兵）← 古法语 peonier，源自 peon（步兵）	one of the first people to do or explore something	先驱	She was a pioneer in this field.|Pioneers cleared the land by hand.	the one who goes first and opens the way – 走在最前头开出路的人		荒野里第一行脚印通向远处，后面还没有别的痕迹		
pirate	中古英语 pirate ← 古法语 pirate ← 拉丁语 pīrāta ← 希腊语 peiratēs（袭掠者），源自 peira（尝试、图谋）	someone who attacks and robs ships at sea	海盗	Pirates seized the cargo near the coast.|The film is about a young pirate.	one who raids ships at sea – 在海上袭掠船只的人		帆船靠上另一条船，蒙面者攀绳翻过船舷		
pistol	或来自中古法语 pistole／pistolet（小型火器），来源未定；一说经中古高地德语出自捷克语 píšťala（管、笛）	a small gun held in one hand	手枪	The officer kept a pistol in his belt.|He locked the pistol in a drawer.	a short firearm fired from the hand – 单手持握的短管火器		掌中握着短管金属器械，扳机护圈套着手指		
piston	借自法语 piston	a part that slides up and down inside a cylinder	活塞	The piston moves faster at high speed.|Engineers replaced a worn piston yesterday.	a disc driven back and forth in a tube – 在筒内往复推移的圆盘		圆柱筒内一块圆盘上下往复，带动一根连杆		
plague	中古英语 plage ← 古法语 plage ← 拉丁语 plāga（打击、创伤），源自 plangere（击打）	a deadly disease that spreads widely, or a great trouble	瘟疫/灾祸	The plague killed thousands in one year.|Locusts became a plague that summer.	a blow that falls on many at once – 一下打到许多人身上的祸患	瘟疫：大范围传开的致命疾病|灾祸：像重击一样落下的大麻烦	街上门户紧闭，墙上画着记号，运车缓慢驶过		
planet	中古英语 planete ← 古法语 planete ← 拉丁语 planēta ← 希腊语 planētēs（游走者），源自 planasthai（漫游）	a large body in space that moves around a star	行星	Each planet follows its own orbit.|Astronomers found a planet beyond Neptune.	a wandering light among fixed stars – 在固定星群中游走的亮点		星图上几个亮点位置逐夜移动，其余始终不变		
plaster	中古英语 plaster ← 古英语 plaster ← 晚期拉丁语 plastrum，为古典拉丁语 emplastrum（膏药、敷布）的缩略	a paste that hardens on walls, or a small dressing for a cut	石膏/膏药	Workers spread plaster over the brick wall.|She put a plaster on her finger.	a paste laid on a surface to set – 敷在表面并会硬结的糊	石膏：兑水成糊、干后硬成一层|膏药：同样敷在表面，只是敷在伤处	白色粉末兑水成糊，抹上墙面后逐渐硬成平整一层		
plastic	拉丁语 plasticus（塑造的）← 希腊语 plastikos，源自 plassein（塑、造形）	a light material that can be shaped, or able to be shaped	塑料/可塑的	Most bottles here are made of plastic.|Clay stays plastic while it is damp.	able to be moulded into shape – 可以被塑成形状的	塑料：可塑成形的人造材料|可塑的：能被塑造改变形状的			noun / adjective
