W	assistance	noun	/əˈsɪstəns/	sta	as-（ad- 靠近）+ sist（sistere 立）+ -ance → 站到旁边把力气借出去 → 援助	拉丁语 assistentia ← assistere：ad-（靠近）+ sistere（站立）；sistere 是 stare 的重叠形	help or support given to someone who needs it	他一个人扛不动那头，另一个走过来托住一角，两人同时把它抬离地面	援助/帮助	The charity offers assistance to homeless families. | She walked upstairs without any assistance.	standing beside someone to take part of the load – 站到旁边替人分担一份重量	援助：站到旁边把自己的力气借出去|帮助：同一件事在日常小事上的说法	
W	elevator	noun	/ˈelɪveɪtə/	levare	e-（向上）+ lev（举）+ -or（做这事的东西）→ 一整天只管把人往上送的那个箱子 → 电梯	英语 elevate（← 拉丁语 elevare：ex-＋levare 举起）加 -or；美式称法，英式多作 lift	a machine that carries people or goods between floors	铁门一合，脚下轻轻一沉，数字牌从三跳到十七	电梯/升降机	The elevator stopped between two floors. | Take the elevator to the top floor.	the box that does nothing but carry things up – 只管把东西往上送的那个箱子	电梯：楼里载人往上送的那个箱子|升降机：同一装置用在货物上的称法	
W	relief	noun	/rɪˈliːf/	levare	re-（再）+ lief（levare 使变轻）→ 压着的分量被拿走以后那口气 → 宽慰	古法语 relief ← relever ← 拉丁语 relevare：re-（再）+ levare（举起、使变轻）	the good feeling when pain or worry stops, or help given to people in need	电话里说人已经找到，她坐回椅子，肩膀整个塌下来	宽慰/解脱/救济	She sighed with relief when the phone rang. | Food relief reached the village at dawn.	the moment the weight comes off – 压着的那份分量被拿走的一刻	宽慰/解脱：心上压着的那份分量被拿走的一下|救济：把别人肩上的重担卸掉一部分，送去的粮和钱就是卸掉的那部分	
W	relieve	verb	/rɪˈliːv/	levare	re-（再）+ lieve（levare 使变轻）→ 把压着的重新托起来 → 减轻，或干脆自己接过来 → 解除	古法语 relever ← 拉丁语 relevare：re-（再）+ levare（举起、使变轻）	to reduce pain or trouble, or to take over someone's duty	值了一夜的人交出钥匙，另一个接过来坐下，他终于能走了	减轻/解除/接替	This ointment relieves itching at once. | A fresh guard relieved him at midnight.	lifting the weight off, or taking it over oneself – 把压着的托起来，或干脆自己接过来	减轻：把压着的分量托起来一些|解除：整份都拿掉|接替：那份分量并没消失，是换到自己肩上	
W	execute	verb	/ˈeksɪkjuːt/	sequ	ex-（彻底）+ ecut（sequi 跟随）→ 跟着一件事走到最后一步 → 执行	古法语 executer ← 拉丁语 exsequi（办到底、跟到底），过去分词 exsecutus ← sequi（跟随）	to carry out a plan or order, or to put someone to death by law	清单上八条，他从头一条跟到末一条，每条后面补一个勾	执行/实施/处死	The team executed the plan without delay. | He was executed at dawn.	following a thing through to its last step – 跟着一件事走到最后一步	执行/实施：跟着定好的步骤一路走到底|处死：依判决把刑罚跟到最后一步，这一支出自法律用语	
W	executive	noun / adjective	/ɪɡˈzekjətɪv/	sequ	ex-（彻底）+ ecut（跟随）+ -ive → 管着把事跟到底的那个人 → 主管	中世纪拉丁语 executivus ← 拉丁语 exsequi（办到底）← sequi（跟随）	a senior person who manages a business, or relating to carrying out decisions	会散了，别人回工位，他留下把每条谁做、几号交，一样样交代清楚	主管/高管/执行的	She is a senior executive at the bank. | Executive power rests with the president.	the one who sees decisions through – 负责把定下的事跟到底的那个人	主管/高管：管着把事办到底的那个人|执行的：形容那一支只管落实、不管定案的权力	
W	pursue	verb	/pəˈsjuː/	sequ	pur-（pro- 向前）+ sue（sequi 跟随）→ 咬住不放地一路跟下去 → 追赶	盎格鲁法语 pursuer ← 通俗拉丁语 *prosequere ← 拉丁语 prosequi：pro-（向前）+ sequi（跟随）	to chase someone, or to keep working toward something over time	猎狗咬着那股气味不松口，前面拐几个弯它就跟几个弯	追赶/追求/继续从事	Police pursued the car for ten miles. | She pursued a career in medicine.	staying on something's heels until you have it – 咬住不放，一路跟到手	追赶：跟在后头不放，要把人或车追上|追求：跟着的不是人而是一个目标|继续从事：一件事跟着做下去，中间不断	
W	second	adjective / noun	/ˈsekənd/	sequ	secundus（sequi 跟随）→ 紧跟在头一个后面的那一个	古法语 second ← 拉丁语 secundus（跟着来的、下一个）← sequi（跟随）	coming next after the first, or one sixtieth of a minute	领奖台上他站旁边那一格，头顶的牌子比中间那块低半头	第二的/秒/附议	She finished second in the race. | Wait a second while I lock the door.	the one that comes right behind the first – 紧跟在头一个后面的那一个	第二的：紧跟头一个后面的那一位|秒：一小时先分六十份是分，再分一次得到的那层就是跟着来的下一层|附议：别人先提，自己紧跟着表态赞同	
W	sue	verb	/suː/	sequ	sue（sequi 跟随）→ 追着一桩说法一路跟进公堂 → 起诉	古法语 suir / sivre（跟随、追讨）← 通俗拉丁语 *sequere ← 拉丁语 sequi（跟随）	to start a legal case against someone in court	修车费谈了半年没结果，他把单据装进信封递进法院	起诉/控告	She sued the company for unfair dismissal. | They threatened to sue us for damages.	following a claim all the way into court – 追着一桩说法一路跟进公堂	起诉：追着一件事把对方带上法庭|控告：同一个动作，重在指出对方有错	
W	record	noun / verb	/ˈrekɔːd/	cors	re-（回）+ cord（cor 心）→ 把事情送回心里存住 → 记录	古法语 recorder ← 拉丁语 recordari：re-（回）+ cor/cordis（心）——古人以心为记事之处，想起一件事就是把它带回心上	to store facts or sounds so they can be found later, or an account so stored	每天收摊后把当天的进出一笔笔写进本子，到年底翻得出来	记录/纪录/唱片	She recorded every payment in a notebook. | He broke the world record last night.	putting a thing back into the heart so it keeps – 把事情送回心里存着，日后还找得出来	记录：把发生过的事存住，回头调得出来|纪录：存下来的那些里最高的一条|唱片：把声音存进一张盘，转起来又放得出来	
W	recorder	noun	/rɪˈkɔːdə/	cors	re-（回）+ cord（心）+ -er → 替人把事存住的那一个 → 录音机	盎格鲁法语 recordour ← 中世纪拉丁语 recordator ← recordari（记在心上）← cor（心）	a machine that stores sound or images, or an official who keeps records	桌上小盒亮着一点红，谈了一小时，回头能一句句放出来	录音机/记录员	Turn on the recorder before the interview begins. | The court recorder read her notes aloud.	whatever keeps things for you so nothing is lost – 替你把东西存住、不让它丢掉的那一个	录音机：把声音存住、回头放得出来的机器|记录员：做同一件事的人，存的是庭上说过的话	
W	congratulate	verb	/kənˈɡrætʃuleɪt/	grat	con-（一同）+ grat（gratus 令人愉快）+ -ulate → 跟着对方一起高兴，还当面说出来 → 祝贺	拉丁语 congratulari：com-（一同）+ gratulari（表示欢喜）← gratus（受欢迎的、令人愉快的）	to tell someone you are pleased about their success	名单贴出来，她冲过去握住那人的手一直摇	祝贺/道贺	I congratulated her on passing the exam. | They congratulated him warmly after the match.	joining in someone else's gladness out loud – 跟着别人一起高兴，还要说出来	祝贺：跟着对方一起欢喜并当面讲出来|道贺：同一件事，重在把这句话送到	
W	congratulation	noun	/kənˌɡrætʃuˈleɪʃn/	grat	con-（一同）+ grat（令人愉快）+ -ation → 与人同喜时递过去的那句话	拉丁语 congratulatio ← congratulari：com-（一同）+ gratulari（表示欢喜）← gratus（令人愉快的）	words said to someone to show you are pleased about their success	门口堆着七八张卡片，每张翻开都是同一个意思，只是字不一样	祝贺/贺词	Please accept my congratulations on your wedding. | Cards of congratulation filled the table.	the words handed over when you share someone's gladness – 与人同喜时递过去的那句话	祝贺：与人同喜这件事本身|贺词：把这份同喜写成或说成的那几句	
W	gratitude	noun	/ˈɡrætɪtjuːd/	grat	grat（gratus 白送的好意）+ -itude → 把对方那份不要钱的好一直记着 → 感激	中世纪拉丁语 gratitudo ← 拉丁语 gratus（受欢迎的、令人愉快的）	the feeling of being thankful for what someone has done	当年借他钱的人早忘了，他每逢过节还是提两盒东西上门	感激/感恩	She expressed her gratitude in a short letter. | He owed a debt of gratitude to his teacher.	holding on to a kindness that was given free – 把白得的那份好意一直记着	感激：记着对方白送的那份好|感恩：同一份心情，重在长久记住并想着报答	
W	consensus	noun	/kənˈsensəs/	sentire	con-（一起）+ sens（sentire 感觉）→ 一屋子人摸到的是同一个点 → 共识	拉丁语 consensus ← consentire：com-（一起）+ sentire（感觉、察觉）	general agreement among a group of people	争了两小时，最后一轮举手，屋里没有一只手往下按	共识/一致意见	The committee reached a consensus after long debate. | There is no consensus on the cause.	everyone feeling their way to the same point – 各人自己去感，落到的是同一处	共识：众人各自感到而落在同一处|一致意见：这份共同的感觉写成正式结论	
W	nonsense	noun	/ˈnɒnsəns/	sentire	non-（不）+ sense（sentire 感觉、理会）→ 声音到了，里头没有可理会的东西 → 胡说	英语 non-（不）+ sense（← 拉丁语 sensus ← sentire 感觉、察觉）	words or ideas that have no meaning or are clearly untrue	他讲了五分钟，每个字都听清了，连起来却抓不住一件事	胡说/废话/荒唐事	Don't talk nonsense about the money. | The report was dismissed as complete nonsense.	sound arriving with nothing in it to take hold of – 声音到了，里头没有可抓的东西	胡说：说出来的话里没有能让人理会的内容|废话：有话没料，听完等于没听|荒唐事：同样的空，落在做法上而不在话上	
W	sensitive	adjective	/ˈsensətɪv/	sentire	sens（sentire 感觉）+ -itive → 别人察觉不到的动静，它也感到 → 敏感的	古法语 sensitif ← 中世纪拉丁语 sensitivus ← 拉丁语 sensus ← sentire（感觉）	quick to feel or react to small changes, or easily upset	天平盘里放一根头发，指针就晃出半格	敏感的/灵敏的/易受伤的	Her skin is sensitive to strong sunlight. | This is a sensitive topic at home.	feeling what most would not notice at all – 旁人根本没察觉的动静，它已经感到	敏感的：极小的动静也感得到|灵敏的：同一性质用在仪器上，读数跟着微动走|易受伤的：感得太清，一句话就扎进去	
W	closet	noun	/ˈklɒzɪt/	clud	clos（claudere 关）+ -et（小）→ 一扇门关住的那一小块地方 → 壁橱	古法语 closet（小间），是 clos（← 拉丁语 clausum，claudere 的过去分词）的指小形	a small room or cupboard for storing clothes and things	走廊尽头那扇窄门推开，里面挂满外套，人进去转身都难	壁橱/储物间	She hung her coat in the closet. | Old shoes filled the hall closet.	a small space shut away behind a door – 一扇门关住的那一小块地方	壁橱：嵌在墙里、关着门放衣物的那一格|储物间：同一个关起来的小空间，大到人能走进去	
W	conclusion	noun	/kənˈkluːʒn/	clud	con-（一并）+ clus（claudere 关）+ -ion → 把散着的话头收齐，然后关上门 → 结论	拉丁语 conclusio ← concludere：com-（一并）+ claudere（关闭）——把话头一并收拢关起来	the end of something, or a judgment reached after thinking	谈到末尾，他把散在桌上的纸叠齐推到中间，说就这样定了	结论/结尾/推断	They came to the same conclusion independently. | The conclusion of the film surprised everyone.	shutting the door once the parts are gathered in – 各部分收齐了，就把门关上	结论：把各处说法收拢后关上门定下的那一句|结尾：同一个关门动作用在过程上|推断：从手里已有的往下收，收到能关上为止	
W	curriculum	noun	/kəˈrɪkjələm/	curr	curr（currere 跑）+ -iculum → 学的人得从头跑到尾的那一整圈 → 课程	拉丁语 curriculum（跑道、一圈路程）← currere（跑）	the whole set of courses taught in a school or on a program	墙上贴着三年的格子表，从头一格排到末一格，中间不许空	课程/教学大纲	The school revised its curriculum last year. | Latin is no longer on the curriculum.	the full track a learner is meant to run – 学的人得从头跑到尾的那一整圈	课程：要一门门跑完的那一整套|教学大纲：把这一整圈写下来的那张单子	
W	occurrence	noun	/əˈkʌrəns/	curr	oc-（ob- 迎面）+ curr（跑）+ -ence → 迎面跑到眼前来的那一下	中世纪拉丁语 occurrentia ← 拉丁语 occurrere：ob-（朝着）+ currere（跑）——迎面跑来	something that happens, or the fact of something happening	这条路上的追尾一个月三回，住户连门都不出来看了	事件/发生/出现	Such storms are a rare occurrence here. | The occurrence of errors dropped sharply.	a thing running up to meet you – 一件事迎面跑到你眼前	事件：迎面撞上来的那一件|发生：不数件数，只说撞上来这回事|出现：同一个动作，重在从没有到露面	
W	confusion	noun	/kənˈfjuːʒn/	fundere	con-（一起）+ fus（fundere 倒）+ -ion → 几样东西倒进一个盆，哪样是哪样都分不出 → 混乱	拉丁语 confusio ← confundere：com-（一起）+ fundere（倒出）——倒到一处搅在一块	a state in which people do not understand what is happening, or things are mixed up	广播换了三次登机口，一群人拖着箱子在大厅里对着走	混乱/困惑/混淆	The announcement caused confusion among passengers. | There is some confusion over the dates.	things poured into one basin until none can be told apart – 全倒进一个盆，哪样是哪样都分不出	混乱：几样东西倒到一处，秩序就没了|困惑：人心里也被倒成一片，抓不住头绪|混淆：两样本该分开的被倒在了一起	
W	commercial	adjective / noun	/kəˈmɜːʃl/	merx	com-（一起）+ merc（merx 货）+ -ial → 围着货物换手长出来的那一摊事 → 商业的	拉丁语 commercium（贸易）：com-（一起）+ merx（属格 mercis：货物）	relating to buying and selling, or a paid advertisement on radio or television	一整层楼全租给了店铺，早上八点卷帘门一家家往上拉	商业的/商用的/广告	The building is used for commercial purposes. | A loud commercial interrupted the film.	everything that gathers around goods changing hands – 围着货物换手这件事长出来的一摊	商业的：与买进卖出货物有关的|商用的：同一形容词落在用途上，不是自家使唤而是拿来赚钱|广告：广播电视里为卖货插进来的那一段	
W	merchandise	noun	/ˈmɜːtʃəndaɪs/	merx	merchand（marcheant 贩货的人）+ -ise → 摆出来等人问价的那批东西 → 商品	古法语 marcheandise ← marcheant（商人）← 通俗拉丁语 mercatans ← mercari（买卖）← merx（货物）	goods that are bought and sold	布摊在地上，一样样码开，标签朝上，等人蹲下来翻	商品/货物	The shop sells sports merchandise online. | Damaged merchandise was sent back.	the goods themselves, set out to be traded – 摆出来供交换的那批东西本身	商品：进来再卖出去的那批东西|货物：同一批东西，重在它是要装要运的实物	
W	direction	noun	/dəˈrekʃn/	rect	di-（dis- 朝各处）+ rect（regere 引成直线）+ -ion → 把线引向哪一边 → 方向	拉丁语 dirigere（引成一条直线）的名词形：dis-（分开、朝各处）+ -rigere（← regere 引导、使直）	the line along which something moves or points, or an instruction on what to do	岔路口三块木牌各指一边，脚下的土路却只有一条	方向/指示/管理	The wind changed direction after midnight. | Follow the directions on the packet.	the straight line a thing is guided along – 把东西引着走的那一条直线	方向：被引出来的那条线朝着哪一边|指示：把该走的那条线讲给别人听|管理：替一群人把线引直，带着他们走	
W	erect	verb / adjective	/ɪˈrekt/	rect	e-（ex- 向上）+ rect（regere 引直）→ 把歪着的引成直的，一直引到立起来 → 竖立	拉丁语 erigere 的过去分词入英语：ex-（向上）+ -rigere（← regere 引导、使直）	to build or set something upright, or standing straight up	四个人扶着旗杆，绳子一收，杆子从斜着变成笔直	竖立/建造/直立的	They erected a fence around the field. | He sat erect on the wooden bench.	guided straight upward until it stands – 被引成直的，一直引到立起来	竖立：把躺着或歪着的引直、立起来|建造：立起来的是一整座房或一道墙|直立的：形容已经立成直的那个样子	
W	champagne	noun	/ʃæmˈpeɪn/	campus-field	champagne（Campania ← campus 平野）→ 拿一片平野的地名当自己的名字 → 只有那儿产的才叫这个	法语 Champagne（法国东北一地区名）← 晚期拉丁语 Campania ← campus（平坦原野）；此酒因产地得名	a sparkling white wine from one region of northern France	木塞一声顶开，杯壁上一串细泡从底一直冒到口	香槟酒	They opened a bottle of champagne. | Champagne was served after the ceremony.	the wine named after one stretch of open country – 拿一片平野的地名当自己名字的那种酒		
W	excitement	noun	/ɪkˈsaɪtmənt/	citare	ex-（向外）+ cit（citare 唤起、催动）+ -ment → 被叫起来的那股劲在里头翻腾 → 兴奋	英语 excite（← 拉丁语 excitare：ex-（向外）+ citare 唤起、催动）加 -ment	a strong feeling of eagerness, or a state of lively activity	开场前十分钟，看台上的人已经坐不住，脚在铁板上一直踩	兴奋/激动/热闹	The children could not hide their excitement. | Her voice shook with excitement.	the stir called up inside a person – 被叫起来的那股劲在人里头翻腾	兴奋：心里那股被唤起来的劲|激动：同一股劲更急更满，压都压不住|热闹：一群人的这股劲聚在一处的场面	
W	credential	noun	/krəˈdenʃl/	credere	cred（credere 相信、托付）+ -ential → 让不认识的人也肯信你的那张纸 → 凭证	中世纪拉丁语 credentialis ← credentia（信任、凭信）← 拉丁语 credere（相信、把东西托付出去）	a document or qualification showing that someone is trusted or qualified	门口的人伸手要东西，他从内袋抽出一张卡，对方看一眼就让路	凭证/资格证明/证书	She showed her credentials at the gate. | His credentials as a teacher are excellent.	the paper that makes a stranger willing to trust you – 让不认识的人也肯信你的那张纸	凭证：递出去换取信任的那件东西|资格证明：证明你够格做这件事的那一份|证书：写成正式文件的那一张	
W	suggestion	noun	/səˈdʒestʃən/	gerere	sug-（sub- 从下）+ gest（gerere 携带）+ -ion → 从下方悄悄带上来、轻轻递给人的那个意思 → 建议	盎格鲁法语 suggestioun ← 拉丁语 suggestio ← suggerere：sub-（从下）+ gerere（携带、承载）	an idea put forward for someone to consider, or a hint of something	会上没人接话，他从桌下递过一张字条，上面只写了两行	建议/意见/暗示	Her suggestion saved us two days of work. | There was a suggestion of doubt in his tone.	an idea carried up from below and offered quietly – 从下方悄悄带上来、轻轻递到人跟前的那个意思	建议/意见：把想法带上台面供人考虑|暗示：不明说，只把意思带出来一点	
W	decline	verb / noun	/dɪˈklaɪn/	klinein	de-（向下）+ cline（clinare 倾斜）→ 顺着斜面往低处走 → 下降；把递来的往旁一偏 → 谢绝	古法语 decliner ← 拉丁语 declinare：de-（向下）+ clinare（使倾斜）；clinare 与希腊语 klinein（倾斜）同出一源	to become weaker or fewer, or to politely refuse something	折线从左肩一路走到右下角，最后两格几乎贴到底线	下降/衰退/谢绝	Sales declined sharply in the second year. | He declined the invitation with thanks.	tipping downward, or tilting a thing aside – 顺着斜面往下走，或把递来的往旁一偏	下降/衰退：顺着那道斜面一路往低处走|谢绝：把递到面前的东西往旁边偏开，不是硬推回去	
W	museum	noun	/mjuːˈziːəm/	musa	mus（Mousa 缪斯）+ -eum（处所）→ 为缪斯那几门技艺留出来的一所屋子 → 博物馆	拉丁语 museum ← 希腊语 mouseion（缪斯的处所，本指学者聚在一处研习的地方）← Mousa（缪斯）	a building where objects of art, history, or science are kept and shown	玻璃柜一排排立着，每件东西下面压一张小卡片，走廊里只有脚步声	博物馆/展览馆	The museum opens at ten every day. | We spent the afternoon in the science museum.	a house kept for the arts the Muses grant – 为缪斯所赐的那几门技艺留出来的一所屋子	博物馆：把值得留住的东西集在一处供人看的屋子|展览馆：同一类屋子，重在里头的东西是摆出来给人看的	
W	orient	verb / noun	/ˈɔːrient/	origo	ori（oriri 升起）+ -ent（正在）→ 日头正升起来的那一边，拿它当准头 → 定位	古法语 orient ← 拉丁语 oriens（oriri 的现在分词：正升起的，指日出之处）	to find your position or adjust to a new situation, or the lands of the east	拿着地图在陌生街口转了半圈，把纸上的路和脚下的路对上	定位/适应/东方	It took her a week to orient herself. | Ships once sailed to the orient for silk.	taking your bearing from where the sun comes up – 拿日头出来的那一边当准头	东方：日头升起来的那一边|定位：拿那一边当准头，把自己摆正|适应：到了新地方，一点点把自己摆正	
W	possibly	adverb	/ˈpɒsəbli/	posse	poss（posse 能够）+ -ible + -ly → 落在办得到的范围里，但没说一定 → 可能	英语 possible（← 拉丁语 possibilis ← posse 能够）加 -ly	perhaps, or by any chance at all	他抬头看了看云，说下午出门伞还是带上	可能/也许/尽可能	She may possibly arrive before noon. | We cannot possibly finish it tonight.	within what could happen, not what will – 落在办得到的范围里，但没说一定	可能/也许：办得到，只是不保证会这样|尽可能：把办得到的这个范围一直用到边上	
W	qualitative	adjective	/ˈkwɒlɪtətɪv/	qualis	qual（qualis 何种成色）+ -itative → 问的是哪一种成色，不是有多少 → 定性的	中世纪拉丁语 qualitativus ← 拉丁语 qualitas（性质）← qualis（何种、什么样的）	relating to the nature or kind of something rather than its amount	两块布不称重也不量尺，只对着光看纹路粗细	定性的/性质上的	The study used qualitative methods only. | This is a qualitative change, not a small one.	asking what kind, never how many – 问的是哪一种成色，不是有多少	定性的：只判成色与种类，不出数目|性质上的：同一个意思用在变化上，变的是种类而不是量	
W	soluble	adjective	/ˈsɒljəbl/	solvere	solu（solvere 解开）+ -ble（可以）→ 放进合适的水里就自己散开 → 可溶的	古法语 soluble ← 晚期拉丁语 solubilis ← 拉丁语 solvere（解开、松开）	able to be dissolved in liquid, or able to be worked out	一勺白粉倒进温水，搅两圈杯底就干净了	可溶的/可解决的	Sugar is soluble in warm water. | The problem proved soluble after all.	coming undone when put in the right liquid – 放进合适的水里就自己散开	可溶的：进了液体就散开，结不成块|可解决的：同一个散开用在难题上，缠着的那团能被抽松	
W	temptation	noun	/tempˈteɪʃn/	temptare	tempt（temptare 试探）+ -ation → 有东西伸过来试一试你顶不顶得住 → 诱惑	古法语 temptacion ← 拉丁语 temptatio ← temptare（试探、考验）	a strong wish to have or do something you know you should avoid	冰箱门开着，那块蛋糕就在眼前，他站着看了十几秒又关上	诱惑/引诱/诱人的东西	She resisted the temptation to reply. | Cheap loans are a real temptation.	something reaching out to test whether you will hold – 有东西伸过来试一试你顶不顶得住	诱惑：那股一直来试探你的拉力|引诱：把这股拉力看成别人有意做的动作|诱人的东西：专来试你的那件东西本身	
W	torment	noun / verb	/ˈtɔːment/	torquere	torm（torquere 拧）+ -ment → 被一圈圈拧紧，还不放开 → 折磨	古法语 torment ← 拉丁语 tormentum（靠扭绞发力的刑具、绞索）← torquere（扭转、拧）	severe suffering, or to make someone suffer in this way	疼从后腰起来，一阵一阵拧上去，半夜翻来覆去躺不平	折磨/痛苦/纠缠	The noise tormented him for weeks. | She lived in torment after the accident.	being twisted tighter and never let go – 被一圈圈拧紧，还不放开	折磨：一下一下拧着不放的那个动作|痛苦：被拧住的人身上那份感受|纠缠：拧的人反复来，缠着不肯松手	
W	prevail	verb	/prɪˈveɪl/	valere	pre-（prae- 更、在前）+ vail（valere 有力）→ 力气比对方足，最后立住的是这一边 → 占优势	古法语 prevaler ← 拉丁语 praevalere：prae-（更、在前）+ valere（强壮、有力）	to win in the end, or to be common in a place or time	两队拔了十分钟，绳结终于一寸寸挪过白线	占优势/获胜/流行	Common sense prevailed in the end. | This custom still prevails in the north.	being the stronger one, so it is your side that stands – 力气占上头，最后立住的是你这边	占优势/获胜：力气比对方足，最后压了过去|流行：某个做法在四周力量最大，到处都是它	
