W	category	noun	/ˈkætəɡəri/			拉丁语 categoria ← 希腊语 katēgoria（指称、断言）← katēgorein：kata-（对着）＋ agorein（在集会上发言）	a group of people or things that share the same features	报名表按项目分成几摞，每摞里的人条件相似，新来的先看归哪摞	类别/范畴	Books are shelved by category here.|This film won in three categories.	one name called out over a whole group – 对着一群东西叫出的那个名目	类别：按共同特征分出来的那一摞|范畴：讨论时框定的一个大类		
W	caution	noun / verb	/ˈkɔːʃn/			拉丁语 cautio（提防、担保）← cavere（当心、警惕），过去分词 cautus	great care taken to avoid danger or mistakes, or to warn someone about them	脚下是薄冰，每一步先用鞋尖压一压，听见响就把脚收回来	谨慎/小心/警告	Handle the glass with great caution.|Police cautioned him about his speed.	watching out before the step goes down – 落脚之前先看清	谨慎：动作之前先掂量，宁慢不错|小心：留着一分注意力在危险那头|警告：把该提防的地方指给别人		
W	celebrity	noun	/səˈlebrəti/			拉丁语 celebritas（人多、盛况、声名）← celeber（人来人往的、众口传说的）	a famous person, or the state of being famous	一个人刚下车，四周举起的手机把他围成一圈，谁都叫得出他是谁	名人/名声	The party was full of celebrities.|He never wanted this kind of celebrity.	the crowd that gathers where a name is known – 名字一出口就有人围过来	名人：走到哪里都被围住认出的那个|名声：名字被许多人念着的那种状态		
W	challenge	noun / verb	/ˈtʃælɪndʒ/			古法语 chalenge（指控、争辩）← 拉丁语 calumnia（诬告、刁难）← calvi（欺骗）	something difficult that tests your ability, or to question or invite someone to compete	有人当面把话丢过来要你接住，接了就得拿出真本事，退一步也被看见	挑战/质疑/艰难任务	The new job was a real challenge.|She challenged his version of events.	a claim thrown at you that must be answered – 有人把一句话丢过来，你得应下	挑战：被人当面叫住，要你比一比|质疑：把对方的说法当场提出来问|艰难任务：难度顶在前头，得使足力气		
W	characteristic	noun / adjective	/ˌkærəktəˈrɪstɪk/			希腊语 charaktēristikos ← charaktēr（打上的印记）← charassein（刻、划）	a feature that belongs to someone or something and helps you identify them	一枚印子按在陶坯上，凹痕的形状旁人仿不出，一看就知出自谁手	特征/特有的/典型的	Patience is a characteristic of good teachers.|He answered with characteristic calm.	the mark cut in that tells one from another – 刻上去的那道印，凭它认出是谁	特征：能把这一个从同类里认出来的那一点|特有的：只在它身上出现，别处没有|典型的：与它一贯的样子对得上		
W	chemist	noun	/ˈkemɪst/			法语 chimiste ← 中世纪拉丁语 alchimista（炼金术士）← 阿拉伯语 al-kīmiyā（炼金之术）	a scientist who studies substances and how they react, or a shop selling medicines	台面上一排玻璃器皿，两种清水倒在一起忽然变绿，他低头记下时刻	化学家/药剂师/药店	The chemist tested the water sample.|Buy the tablets at the chemist.	one who works at how substances turn into others – 专门摆弄物质变化的人	化学家：研究物质怎样相互变化的人|药剂师：按方子配药的人|药店：英式说法里也指卖药的那间铺子		
W	chocolate	noun	/ˈtʃɒklət/			西班牙语 chocolate ← 纳瓦特尔语 xocolātl（可可豆做的饮料）	a sweet brown food made from cacao beans	一块深褐的方砖捏在手里就发软，掰断时脆响，入口先苦后甜	巧克力/巧克力色	She ate a whole bar of chocolate.|He wore a chocolate brown coat.	ground cacao pressed into a dark block – 可可磨碎压成的深褐块	巧克力：可可豆磨浆加糖压成的那种甜食|巧克力色：那块砖的颜色，深而偏红的褐		
W	coincidence	noun	/kəʊˈɪnsɪdəns/	cadere	co-（一同）+ in-（落到上头）+ cid（cadere 落下）+ -ence → 两件事同时落到一个点上	中世纪拉丁语 coincidere：co-（一同）＋ incidere（落到某处上头）← cadere（落下）	the chance happening of two things at the same time or place	两人在异国同一节车厢里碰上，谁都没约，票是各自买的	巧合/同时发生	Meeting you here is a strange coincidence.|By coincidence we chose the same hotel.	two things falling on the same point – 两件事落在同一个点上	巧合：两件不相干的事恰好落到一处|同时发生：两者在同一刻一起落下		
W	combination	noun	/ˌkɒmbɪˈneɪʃn/			晚期拉丁语 combinatio ← combinare：com-（一同）＋ bini（两个两个地）；本项目未为 bini 一支建根	a joining of two or more things, or the result of joining them	两股细线搓成一股，谁也拆不开；锁上三个数字按对次序才弹开	结合/组合/密码	The dish is a combination of spices.|He forgot the combination to the safe.	two taken two by two into one – 两个两个地凑到一处	结合：两样东西并到一处成一样|组合：几件按某种搭配摆在一起|密码：几个数字按定好的次序凑成一串		
W	between	preposition / adverb	/bɪˈtwiːn/			古英语 betwēonum：be（在）＋ tweonum（成双的）← 原始日耳曼语 *twihna（两个一组）	in the space, time, or range that separates two people or things	两棵树中间拉一根绳，晾的衣服全挂在这一段，两头各系一个结	在…之间/介于	The shop sits between a bank and a cafe.|Choose between tea and coffee.	in the gap that two things leave – 落在两者留出的那段空当里	在…之间：位置或时间落在两者当中|介于：性质、程度处在两者中间		between A and B —— 在两者之间，两端都要点明，不能只说一头|between you and me —— 你我之间说说，表示别外传|in between —— 夹在中间，可单用作副词|between 与 among —— between 用于分得清的两个或几个，among 用于混作一片的一群
W	breakdown	noun	/ˈbreɪkdaʊn/			英语 break（古英语 brecan 折断）＋ down（古英语 dūne 向下）复合，十九世纪成词	a failure of a machine, a relationship, or health, or a division of something into parts	货车停在路肩不动了，机盖掀开冒白气；另一张纸上把总数拆成一条条	故障/崩溃/分项细目	The car had a breakdown on the motorway.|Give me a breakdown of the costs.	something giving way and coming apart – 一样东西撑不住，散开了	故障：机器撑不住，当场停下|崩溃：人的身体或关系散了架|分项细目：把整块拆成一条一条摆开		
W	briefcase	noun	/ˈbriːfkeɪs/			英语 brief（文书）＋ case（箱）复合；brief ← 拉丁语 brevis（短的、简短文书），case ← 拉丁语 capsa（箱），本项目未为这两支建根	a flat stiff case with a handle, used for carrying documents	一只扁而硬的皮箱提在手里，扣子一按弹开，里面竖着几叠纸	公文包	He snapped his briefcase shut.|She carried a black leather briefcase.	a stiff flat box for carrying papers – 装文书的硬扁箱			
W	butterfly	noun	/ˈbʌtəflaɪ/			古英语 buttorflēoge：buttor（黄油）＋ flēoge（飞虫）；何以得名无定论，一说其粪色如黄油	an insect with large coloured wings that flies by day	两片带斑纹的薄翅在花上一开一合，落下时几乎不压弯花瓣	蝴蝶/蝶泳	A butterfly landed on her wrist.|He swims butterfly better than freestyle.	wide patterned wings opening and closing in daylight – 白天里一开一合的两片花翅	蝴蝶：白天飞的那种宽翅带斑纹的虫|蝶泳：两臂同时向后划，像那对翅膀开合的泳姿		
W	cart	noun / verb	/kɑːt/			中古英语 cart ← 古诺斯语 kartr（两轮车），取代了古英语 cræt；与拉丁语 carrus（四轮货车）无关	a small vehicle with wheels for carrying goods, pushed or pulled	两个木轮架着一块板，装满土豆后要弯腰使劲推，石子路上咯咯响	手推车/大车/用车运	He pushed the cart up the hill.|They carted the bricks to the site.	a wheeled board you push or pull yourself – 装了轮子的板，靠人推拉	手推车：靠人推着走的小车|大车：牲口拉的两轮货车|用车运：把东西装上车拉走		
W	catalog	noun / verb	/ˈkætəlɒɡ/	logos	cata-（往下）+ log（logos 说、逐条列举）→ 一条一条往下说，说成一份单子	希腊语 katalogos（清单）← katalegein：kata-（往下）＋ legein（说、逐条列举）	a complete list of items, often with descriptions, or to make such a list	一本厚册子，每页十几条，每条配一张小图和一个编号，翻到哪页都对得上	目录/产品名录/编入目录	She ordered the coat from a catalog.|They catalogued every book in the room.	saying items down one by one into a list – 一条一条往下报，报成一份单子	目录：按次序列出的条目单|产品名录：卖家把货一条条列出来的册子|编入目录：把一样东西加进那份单子里		
W	chairman	noun	/ˈtʃeəmən/			英语 chair（座椅）＋ man（人）复合；chair ← 古法语 chaiere ← 拉丁语 cathedra ← 希腊语 kathedra：kata-（向下）＋ hedra（座）	the person who leads a meeting or heads a company's board	长桌一头那把带扶手的椅子只留给一个人，他一敲桌面全场就静下来	主席/董事长/会议主持人	The chairman opened the meeting at nine.|She was elected chairman last spring.	the one who holds the seat at the head – 坐在头把座椅上的那个人	主席：占着头把座椅、说话定调的人|董事长：公司董事会里坐那把椅子的|会议主持人：负责让会按次序走下去的人		
W	cheque	noun	/tʃek/			英语 check 的英式拼法，受法语 chèque 影响 ← 古法语 eschec（棋局上的将）← 阿拉伯语 šāh ← 波斯语 šāh（王）；核对以防篡改一义出自「将住」那一截	a printed form on which you write an amount to be paid from your bank account	一张印好格线的纸条，填上数目签个名撕下来，对方拿去银行才取到钱	支票	He wrote a cheque for two hundred pounds.|The cheque bounced last Friday.	a slip that stops money and sends it on – 一张纸条把账上的钱截住，转给别人			
W	clasp	noun / verb	/klɑːsp/			中古英语 claspe（金属搭扣），或为 clapse 的音位换位，与古英语 clyppan（抱紧）一支有关；更早词源不明	a small fastening that holds two parts together, or to hold something tightly	项链两端那个小铁件咔一声咬住，扳不开；也像手指把硬币攥进掌心	扣子/紧握/搂抱	The clasp on her necklace broke.|He clasped her hand tightly.	two parts biting shut and not letting go – 两边咬住就不松	扣子：把两头咬合住的小金属件|紧握：手指合上不放松|搂抱：两臂像那副扣件一样合住人		
W	clockwise	adverb / adjective	/ˈklɒkwaɪz/			英语 clock（钟）＋ -wise（古英语 wīse 方式）；clock ← 中古荷兰语 clocke ← 中世纪拉丁语 clocca（钟、铃）	in the direction that the hands of a clock move	旋盖时手腕从上往右压，跟着表面那根长针走的方向，反过来就松了	顺时针方向/顺时针的	Turn the lid clockwise to close it.|The dancers moved clockwise around the fire.	following the way the hands go round – 跟着钟面指针转的那个方向	顺时针方向：与钟面指针一致的那个转向|顺时针的：形容按那个方向转的动作		
W	cluster	noun / verb	/ˈklʌstə(r)/			古英语 clyster（一簇、一串）← 原始日耳曼语中与 clot（凝块）同支的词干	a small close group of things or people of the same kind	葡萄一颗挨一颗挤在同一根梗上，摘的时候整把拎起来，谁也不单独掉	簇/群/聚集	A cluster of houses stood by the river.|Reporters clustered around the entrance.	things bunched tight on one stem – 挤在一根梗上的那一把	簇：同类的东西紧挨成一小把|群：几个人或物凑在一小片地方|聚集：往一处挤拢的那个动作		
W	complicated	adjective	/ˈkɒmplɪkeɪtɪd/	plic	com-（一起）+ plic（plicare 折叠）+ -ated → 好几层折在一起，抖不开也数不清	拉丁语 complicatus（折叠起来的）← complicare：com-（一起）＋ plicare（折叠）	made of many connected parts and therefore hard to understand or deal with	一团耳机线在口袋里绕成一坨，抽哪一头都带起另外三处结	复杂的/难处理的	The rules are far too complicated.|This makes my job more complicated.	folded over on itself many times – 自己折了好几层在一起	复杂的：层层折叠，一眼看不到底|难处理的：折在一起，牵一处动全身		
