word	old_phonetic	new_phonetic	old_pos	new_pos	note
resemblance	/rɪˈzembləns/	/rɪˈzembləns/	noun	noun	
resemble	/rɪˈzembəl/	/rɪˈzembəl/	verb	verb	
reservoir	/ˈrez.ə.vwɑː/	/ˈrez.ə.vwɑː/	noun	noun	
resort	/ˈresort/		noun	noun	同形异读（多个读音段）
resource	/ˈresource/		noun	noun	重音歧义(候选之一 /rɪˈzɔːs/)
rest	/ˈrest/		noun	noun	同形异读（多个读音段）
restaurant	/ˈrest(ə)rɒnt/	/ˈrest(ə)rɒnt/	noun	noun	
retire	/ˈretire/		verb	verb	同形异读（多个读音段）
retrieve	/rɪˈtriːv/	/rɪˈtriːv/	verb	verb	
return	/rɪˈtɜːn/	/rɪˈtɜːn/	verb	verb	
reveal	/rɪˈviːl/	/rɪˈviːl/	noun	noun	
revelation	/ˌrev.əˈleɪ.ʃən/	/ˌrev.əˈleɪ.ʃən/	noun	noun	
revenge	/rəˈvendʒ/	/rəˈvendʒ/	noun	noun	
review	/rɪˈvjuː/	/rɪˈvjuː/	noun	noun	
revive	/rɪˈvaɪv/	/rɪˈvaɪv/	verb	verb	
revolt	/rɪˈvəʊlt/	/rɪˈvəʊlt/	verb	verb	
rhythm	/ˈrɪð.əm/	/ˈrɪð.əm/	noun	noun	
ribbon	/ˈrɪbən/	/ˈrɪbən/	noun	noun	
riddle	/ˈrɪdəl/	/ˈrɪdəl/	noun	noun	
ridiculous	/rɪˈdɪk.jʊ.ləs/	/rɪˈdɪk.jʊ.ləs/	adjective	adjective	
rigorous	/ˈrɪɡərəs/	/ˈrɪɡərəs/	adjective	adjective	
ritual	/ˈrɪtʃ.u.əl/	/ˈrɪtʃ.u.əl/	adjective	adjective	
robust	/rəʊˈbʌst/	/rəʊˈbʌst/	adjective	adjective	
romance	/ˈromance/		noun	noun	重音歧义(候选之一 /rə(ʊ)ˈman(t)s/)
romantic	/ˈromantic/		adjective	adjective	重音歧义(候选之一 /rə(ʊ)ˈmæntɪk/)
roundabout	/ˈraʊndəˌbaʊt/	/ˈraʊndəˌbaʊt/	noun	adjective	
rubber	/ˈrʌbə/	/ˈrʌbə/	noun	noun	
rubbish	/ˈrʌbɪʃ/	/ˈrʌbɪʃ/	noun	noun	
rumor	/ˈruːmə/	/ˈruːmə/	noun	noun	
sacred	/ˈsacred/		adjective	adjective	同形异读（多个读音段）
sacrifice	/ˈsæk.rɪ.faɪs/	/ˈsæk.rɪ.faɪs/	noun	noun	
saddle	/ˈsædl/	/ˈsædl/	noun	noun	
sail	/seɪl/	/seɪl/	noun	noun	
sailor	/ˈseɪ.lə/	/ˈseɪ.lə/	noun	noun	
saint	/sən(t)/	/sən(t)/	noun	noun	
sake	/ˈseɪk/	/ˈseɪk/	noun	noun	
salad	/ˈsalad/		noun	noun	重音歧义(候选之一 /ˈsæl.əd/)
salary	/ˈsæləri/	/ˈsæləri/	noun	noun	
sale	/seɪl/	/seɪl/	noun	noun	
salesman	/ˈsalesman/		noun	noun	无 IPA
salt	/sɒlt/	/sɒlt/	noun	noun	
same	/seɪm/	/seɪm/	adjective	adjective	
sample	/ˈsɑːm.pəl/	/ˈsɑːm.pəl/	noun	noun	
sanction	/ˈsæŋkʃən/	/ˈsæŋkʃən/	noun	noun	
sand	/sænd/	/sænd/	noun	noun	
sandwich	/ˈsæn(d).wɪdʒ/	/ˈsæn(d).wɪdʒ/	noun	noun	
sane	/seɪn/	/seɪn/	adjective	adjective	
sarcastic	/sɑːˈkæs.tɪk/	/sɑːˈkæs.tɪk/	adjective	adjective	
satellite	/ˈsætəlaɪt/	/ˈsætəlaɪt/	noun	noun	
satire	/ˈsætaɪə/	/ˈsætaɪə/	noun	noun	
sauce	/sɔːs/	/sɔːs/	noun	noun	
saucer	/ˈsɔːsə/	/ˈsɔːsə/	noun	noun	
sausage	/ˈsɒsɪdʒ/	/ˈsɒsɪdʒ/	noun	noun	
savage	/ˈsævɪdʒ/	/ˈsævɪdʒ/	adjective	adjective	
saw	/sɔː/	/sɔː/	noun	noun	
say	/seɪ/	/seɪ/	verb	verb	
scan	/skæn/	/skæn/	verb	verb	
scandal	/ˈskændəl/	/ˈskændəl/	noun	noun	
scar	/skɑː(r)/	/skɑː(r)/	noun	noun	
scarce	/ˈskeəs/	/ˈskeəs/	adjective	adjective	
scare	/skeə/	/skeə/	noun	noun	
scarf	/skɑːf/	/skɑːf/	noun	noun	
scatter	/ˈskætə/	/ˈskætə/	verb	verb	
scene	/siːn/	/siːn/	noun	noun	
scenery	/ˈsiːnəri/	/ˈsiːnəri/	noun	noun	
scent	/sent/	/sent/	noun	noun	
schedule	/ˈʃedʒuːl/	/ˈʃedʒuːl/	noun	noun	
scholarship	/ˈskɒləʃɪp/	/ˈskɒləʃɪp/	noun	noun	
scissors	/ˈsɪzəz/	/ˈsɪzəz/	noun	noun	
scold	/ˈskəʊld/	/ˈskəʊld/	noun	noun	
scope	/skəʊp/	/skəʊp/	noun	noun	
score	/skɔː/	/skɔː/	noun	noun	
scorn	/skɔːn/	/skɔːn/	verb	verb	
scout	/ˈskaʊt/	/ˈskaʊt/	noun	noun	
scramble	/ˈskræmbl/	/ˈskræmbl/	verb	verb	
scrap	/ˈskræp/	/ˈskræp/	noun	noun	
scrape	/skreɪp/	/skreɪp/	verb	verb	
scratch	/skrætʃ/	/skrætʃ/	verb	verb	
scream	/skriːm/	/skriːm/	noun	noun	
screen	/ˈskriːn/	/ˈskriːn/	noun	noun	
screw	/ˈskruː/	/ˈskruː/	noun	noun	
scrutiny	/ˈskruː.tɪ.ni/	/ˈskruː.tɪ.ni/	noun	noun	
sculpture	/ˈskʌlptj(ʊ)ə/	/ˈskʌlptj(ʊ)ə/	noun	noun	
sea	/siː/	/siː/	noun	noun	
seal	/siːl/	/siːl/	noun	noun	
seam	/ˈsiːm/	/ˈsiːm/	noun	noun	
search	/sɜːtʃ/	/sɜːtʃ/	noun	noun	
seaside	/ˌsiːˈsaɪd/	/ˌsiːˈsaɪd/	noun	noun	
season	/ˈseason/		noun	noun	无 IPA
seat	/siːt/	/siːt/	noun	noun	
secret	/ˈsiː.krɪt/	/ˈsiː.krɪt/	noun	noun	
secretary	/ˈsek.rə.tə.ri/	/ˈsek.rə.tə.ri/	noun	noun	
see	/siː/	/siː/	verb	verb	
seek	/ˈsiːk/	/ˈsiːk/	verb	verb	
seem	/ˈsiːm/	/ˈsiːm/	verb	verb	
segregate	/ˈseɡrəɡət/	/ˈseɡrəɡət/	adjective	adjective	
seize	/ˈsiːz/	/ˈsiːz/	verb	verb	
seldom	/ˈseldəm/	/ˈseldəm/	adverb	adverb	
selection	/səˈlekʃən/	/səˈlekʃən/	noun	noun	
self	/ˈself/	/ˈself/	noun	pronoun	
selfish	/ˈsel.fɪʃ/	/ˈsel.fɪʃ/	adjective	adjective	
sell	/sel/	/sel/	verb	verb	
semester	/sɪˈmestə/	/sɪˈmestə/	noun	noun	
seminar	/ˈsemɪnɑː/	/ˈsemɪnɑː/	noun	noun	
senate	/ˈsenɪt/	/ˈsenɪt/	noun	noun	
senator	/ˈsen.ə.tə/	/ˈsen.ə.tə/	noun	noun	
send	/send/	/send/	verb	verb	
senior	/ˈsiːnjə(r)/	/ˈsiːnjə(r)/	adjective	adjective	
sentiment	/ˈsen.tɪ.mənt/	/ˈsen.tɪ.mənt/	noun	noun	
september	/ˈseptember/		noun		无 English 段
serial	/ˈsɪə.rɪ.əl/	/ˈsɪə.rɪ.əl/	adjective	adjective	
series	/ˈsɪə.riːz/	/ˈsɪə.riːz/	noun	noun	
serious	/ˈsɪə.ri.əs/	/ˈsɪə.ri.əs/	adjective	adjective	
setback	/ˈsetbæk/	/ˈsetbæk/	noun	noun	
setting	/ˈsetɪŋ/	/ˈsetɪŋ/	noun	noun	
settle	/ˈse.təl/	/ˈse.təl/	verb	verb	
settlement	/ˈse.təl.mənt/	/ˈse.təl.mənt/	noun	noun	
several	/ˈsev.(ə.)rəl/	/ˈsev.(ə.)rəl/	adjective	adjective	
severe	/sɪˈvɪə/	/sɪˈvɪə/	adjective	adjective	
sew	/ˈsew/		verb	verb	同形异读（多个读音段）
sex	/ˈseks/	/ˈseks/	noun	noun	
shabby	/ˈʃæbi/	/ˈʃæbi/	adjective	adjective	
shade	/ʃeɪd/	/ʃeɪd/	noun	noun	
shadow	/ˈʃædəʊ/	/ˈʃædəʊ/	noun	noun	
shady	/ˈʃeɪdi/	/ˈʃeɪdi/	adjective	adjective	
shaft	/ˈʃɑːft/	/ˈʃɑːft/	noun	noun	
shake	/ˈʃeɪk/	/ˈʃeɪk/	verb	verb	
shallow	/ˈʃæləʊ/	/ˈʃæləʊ/	adjective	adjective	
sham	/ˈʃæm/	/ˈʃæm/	adjective	adjective	
shame	/ˈʃeɪm/	/ˈʃeɪm/	noun	noun	
shampoo	/ˈshampoo/		noun	noun	重音歧义(候选之一 /ʃæmˈpuː/)
shape	/ˈʃeɪp/	/ˈʃeɪp/	noun	noun	
share	/ʃeə/	/ʃeə/	noun	noun	
shark	/ʃɑːk/	/ʃɑːk/	noun	noun	
sharp	/ʃɑːp/	/ʃɑːp/	adjective	adjective	
shatter	/ˈʃætə/	/ˈʃætə/	verb	verb	
shave	/ˈʃeɪv/	/ˈʃeɪv/	verb	verb	
shear	/ʃɪə/	/ʃɪə/	verb	verb	
shed	/ʃed/	/ʃed/	verb	verb	
sheep	/ˈʃiːp/	/ˈʃiːp/	noun	noun	
sheer	/ʃɪə/	/ʃɪə/	adjective	adjective	
sheet	/ʃiːt/	/ʃiːt/	noun	noun	
shelf	/ʃelf/	/ʃelf/	noun	noun	
shell	/ʃel/	/ʃel/	noun	noun	
shelter	/ˈʃeltə/	/ˈʃeltə/	noun	noun	
shepherd	/ˈʃepəd/	/ˈʃepəd/	noun	noun	
shield	/ˈʃiːld/	/ˈʃiːld/	noun	noun	
shift	/ˈʃɪft/	/ˈʃɪft/	noun	noun	
shilling	/ˈʃɪlɪŋ/	/ˈʃɪlɪŋ/	noun	noun	
shine	/ʃaɪn/	/ʃaɪn/	verb	verb	
ship	/ˈʃɪp/	/ˈʃɪp/	noun	noun	
shipment	/ˈʃɪpmənt/	/ˈʃɪpmənt/	noun	noun	
shirt	/ʃɜːt/	/ʃɜːt/	noun	noun	
shock	/ʃɒk/	/ʃɒk/	noun	noun	
shoe	/ˈʃuː/	/ˈʃuː/	noun	noun	
shoot	/ʃuːt/	/ʃuːt/	verb	verb	
shop	/ʃɒp/	/ʃɒp/	noun	noun	
shopkeeper	/ˈʃɒpkiːpə/	/ˈʃɒpkiːpə/	noun	noun	
shore	/ʃɔː/	/ʃɔː/	noun	noun	
short	/ʃɔːt/	/ʃɔːt/	adjective	adjective	
shortage	/ˈʃɔː(r)tɪdʒ/	/ˈʃɔː(r)tɪdʒ/	noun	noun	
shortcoming	/ˈʃɔːtˌkʌmɪŋ/	/ˈʃɔːtˌkʌmɪŋ/	noun	noun	
shorthand	/ˈʃɔːthænd/	/ˈʃɔːthænd/	noun	noun	
shortly	/ˈʃɔrtli/	/ˈʃɔrtli/	adverb	adverb	
shot	/ʃɒt/	/ʃɒt/	noun	adjective	
shoulder	/ˈʃəʊldə/	/ˈʃəʊldə/	noun	noun	
shout	/ʃaʊt/	/ʃaʊt/	noun	noun	
shove	/ˈshove/		verb	verb	同形异读（多个读音段）
show	/ʃəʊ/	/ʃəʊ/	verb	verb	
shower	/ˈshower/		noun	noun	同形异读（多个读音段）
shrewd	/ʃruːd/	/ʃruːd/	adjective	adjective	
shrink	/ˈʃrɪŋk/	/ˈʃrɪŋk/	verb	verb	
shrug	/ˈʃrʌɡ/	/ˈʃrʌɡ/	noun	noun	
shut	/ʃʊt/	/ʃʊt/	verb	verb	
shutter	/ˈʃʌtə/	/ˈʃʌtə/	noun	noun	
shuttle	/ˈʃʌtəl/	/ˈʃʌtəl/	noun	noun	
shy	/ʃaɪ/	/ʃaɪ/	adjective	adjective	
sick	/ˈsɪk/	/ˈsɪk/	adjective	adjective	
side	/ˈsaɪd/	/ˈsaɪd/	noun	noun	
sideways	/ˈsaɪdweɪz/	/ˈsaɪdweɪz/	adverb		保留原词性(adverb)
siege	/siːdʒ/	/siːdʒ/	noun	noun	
sigh	/saɪ/	/saɪ/	verb	verb	
sight	/saɪt/	/saɪt/	noun	noun	
sightseeing	/ˈsightseeing/		noun	noun	无 IPA
silence	/ˈsaɪlən(t)s/	/ˈsaɪlən(t)s/	noun	noun	
silent	/ˈsaɪlənt/	/ˈsaɪlənt/	adjective	adjective	
silicon	/ˈsɪləkɒn/	/ˈsɪləkɒn/	noun	noun	
silk	/sɪlk/	/sɪlk/	noun	noun	
silly	/ˈsɪl.i/	/ˈsɪl.i/	adjective	adjective	
silver	/ˈsɪl.və/	/ˈsɪl.və/	noun	noun	
simplicity	/sɪmˈplɪsɪti/	/sɪmˈplɪsɪti/	noun	noun	
simplify	/ˈsɪmplɪfaɪ/	/ˈsɪmplɪfaɪ/	verb	verb	
simply	/ˈsɪmpli/	/ˈsɪmpli/	adverb	adverb	
sin	/ˈsin/		noun	noun	同形异读（多个读音段）
sincere	/sɪnˈsɪə(r)/	/sɪnˈsɪə(r)/	adjective	adjective	
sing	/ˈsɪŋɡ/	/ˈsɪŋɡ/	verb	verb	
single	/ˈsɪŋɡl/	/ˈsɪŋɡl/	adjective	adjective	
singular	/ˈsɪŋ.ɡjʊ.lə/	/ˈsɪŋ.ɡjʊ.lə/	adjective	adjective	
sink	/ˈsɪŋk/	/ˈsɪŋk/	verb	verb	
sip	/sɪp/	/sɪp/	noun	noun	
sir	/sɜː/	/sɜː/	noun	noun	
siren	/ˈsaɪərən/	/ˈsaɪərən/	noun	noun	
sister	/ˈsɪs.tə(r)/	/ˈsɪs.tə(r)/	noun	noun	
sit	/sɪt/	/sɪt/	verb	verb	
site	/saɪt/	/saɪt/	noun	noun	
situated	/ˈsɪtʃueɪtɪd/	/ˈsɪtʃueɪtɪd/	adjective	adjective	
situation	/ˌsɪt.juːˈeɪ.ʃən/	/ˌsɪt.juːˈeɪ.ʃən/	noun	noun	
size	/saɪz/	/saɪz/	noun	noun	
skate	/skeɪt/	/skeɪt/	noun	noun	
skeleton	/ˈskelɪtən/	/ˈskelɪtən/	noun	noun	
skeptical	/ˈskeptɪkəl/	/ˈskeptɪkəl/	adjective	adjective	
sketch	/ˈsketʃ/	/ˈsketʃ/	verb	verb	
ski	/skiː/	/skiː/	noun	noun	
skill	/skɪl/	/skɪl/	noun	noun	
skilled	/skɪld/	/skɪld/	adjective	adjective	
skillful	/ˈskɪl.fəl/	/ˈskɪl.fəl/	adjective	adjective	
skim	/skɪm/	/skɪm/	verb	verb	
skin	/skɪn/	/skɪn/	noun	noun	
skip	/skɪp/	/skɪp/	verb	verb	
skirt	/skɜːt/	/skɜːt/	noun	noun	
skull	/skʊl/	/skʊl/	noun	noun	
sky	/skaɪ/	/skaɪ/	noun	noun	
skyscraper	/ˈskaɪˌskreɪp.ə(r)/	/ˈskaɪˌskreɪp.ə(r)/	noun	noun	
slack	/slæk/	/slæk/	noun	noun	
slam	/ˈslæm/	/ˈslæm/	verb	verb	
slap	/slæp/	/slæp/	noun	noun	
slaughter	/ˈslɔːtə/	/ˈslɔːtə/	noun	noun	
slave	/sleɪv/	/sleɪv/	noun	noun	
sleep	/sliːp/	/sliːp/	verb	verb	
sleeve	/sliːv/	/sliːv/	noun	noun	
slender	/ˈslendə/	/ˈslendə/	adjective	adjective	
slice	/slaɪs/	/slaɪs/	noun	noun	
slide	/ˈslaɪd/	/ˈslaɪd/	verb	verb	
slight	/slaɪt/	/slaɪt/	adjective	adjective	
slim	/ˈslɪm/	/ˈslɪm/	adjective	adjective	
slip	/ˈslɪp/	/ˈslɪp/	verb	verb	
slipper	/ˈslɪpə(r)/	/ˈslɪpə(r)/	noun	noun	
slippery	/ˈslɪpəri/	/ˈslɪpəri/	adjective	adjective	
slit	/ˈslɪt/	/ˈslɪt/	noun	noun	
slogan	/ˈsləʊɡ(ə)n/	/ˈsləʊɡ(ə)n/	noun	noun	
slope	/sləʊp/	/sləʊp/	noun	noun	
slot	/slɒt/	/slɒt/	noun	noun	
slow	/sləʊ/	/sləʊ/	adjective	adjective	
slum	/slʌm/	/slʌm/	noun	noun	
sly	/slaɪ/	/slaɪ/	adjective	adjective	
small	/smɔːl/	/smɔːl/	adjective	adjective	
smart	/smɑːt/	/smɑːt/	adjective		保留原词性(adjective)
smash	/smæʃ/	/smæʃ/	noun	noun	
smell	/smel/	/smel/	noun	noun	
smile	/ˈsmaɪl/	/ˈsmaɪl/	noun	noun	
smog	/smɒɡ/	/smɒɡ/	noun	noun	
smoke	/sməʊk/	/sməʊk/	noun	noun	
smooth	/smuːð/	/smuːð/	adjective	adjective	
smuggle	/ˈsmʌɡəl/	/ˈsmʌɡəl/	verb	verb	
snack	/snæk/	/snæk/	noun	noun	
snake	/sneɪk/	/sneɪk/	noun	noun	
snap	/snæp/	/snæp/	noun	noun	
snatch	/snætʃ/	/snætʃ/	verb	verb	
sneak	/sniːk/	/sniːk/	noun	noun	
sneeze	/sniːz/	/sniːz/	verb	verb	
sniff	/snɪf/	/snɪf/	verb	verb	
snow	/snəʊ/	/snəʊ/	noun	noun	
snowstorm	/ˈsnəʊstɔːm/	/ˈsnəʊstɔːm/	noun	noun	
soak	/səʊk/	/səʊk/	verb	verb	
soap	/səʊp/	/səʊp/	noun	noun	
soar	/sɔː/	/sɔː/	verb	verb	
sob	/sɒb/	/sɒb/	noun	noun	
sober	/ˈsəʊ.bə(r)/	/ˈsəʊ.bə(r)/	adjective	adjective	
soccer	/ˈsɒk.ə/	/ˈsɒk.ə/	noun	noun	
sock	/sɒk/	/sɒk/	noun	noun	
soda	/ˈsəʊdə/	/ˈsəʊdə/	noun	noun	
sofa	/ˈsəʊfə/	/ˈsəʊfə/	noun	noun	
soft	/sɒft/	/sɒft/	adjective	adjective	
software	/ˈsɒf(t)ˌweə/	/ˈsɒf(t)ˌweə/	noun	noun	
soil	/sɔɪl/	/sɔɪl/	noun	noun	
soldier	/ˈsəʊldʒə/	/ˈsəʊldʒə/	noun	noun	
solemn	/ˈsɒləm/	/ˈsɒləm/	adjective	adjective	
somebody	/ˈsʌmbˌɒdi/	/ˈsʌmbˌɒdi/	pronoun	pronoun	
someone	/ˈsʌmwʌn/	/ˈsʌmwʌn/	pronoun	pronoun	
something	/ˈsʌm.θɪŋ/	/ˈsʌm.θɪŋ/	pronoun	pronoun	
sometime	/ˈsʌmˌtaɪm/	/ˈsʌmˌtaɪm/	adverb	adverb	
sometimes	/ˈsʌm.taɪmz/	/ˈsʌm.taɪmz/	adverb	adverb	
somewhere	/ˈsʌmweə/	/ˈsʌm.weə/	adverb	adverb	
son	/ˈson/		noun	noun	同形异读（多个读音段）
song	/sɒŋ/	/sɒŋ/	noun	noun	
soon	/suːn/	/suːn/	adverb		保留原词性(adverb)
sophisticated	/ˈsophisticated/		adjective	adjective	无 IPA
sore	/sɔː/	/sɔː/	adjective	adjective	
sorrow	/ˈsɒrəʊ/	/ˈsɒrəʊ/	noun	noun	
sorry	/ˈsɒri/	/ˈsɒri/	adjective	adjective	
sort	/sɔːt/	/sɔːt/	noun	noun	
soul	/səʊl/	/səʊl/	noun	noun	
sound	/ˈsaʊnd/	/ˈsaʊnd/	adjective	adjective	
soup	/suːp/	/suːp/	noun	noun	
sour	/ˈsaʊ.ə/	/ˈsaʊ.ə/	adjective	adjective	
source	/sɔːs/	/sɔːs/	noun	noun	
south	/ˈsaʊθ/	/ˈsaʊθ/	noun	noun	
southeast	/sawˈθɪjst/	/sawˈθɪjst/	noun	noun	
southern	/ˈsʌðən/	/ˈsʌðən/	adjective	adjective	
southwest	/saʊθˈwest/	/saʊθˈwest/	noun	noun	
sovereign	/ˈsɒv.rɪn/	/ˈsɒv.rɪn/	adjective	adjective	
sow	/ˈsow/		noun	noun	同形异读（多个读音段）
spade	/speɪd/	/speɪd/	noun	noun	
span	/ˈspan/		noun	noun	同形异读（多个读音段）
spare	/speə(r)/	/speə(r)/	adjective	adjective	
spark	/ˈspɑːk/	/ˈspɑːk/	noun	noun	
sparkle	/ˈspɑː.kəl/	/ˈspɑː.kəl/	noun	noun	
speak	/spiːk/	/spiːk/	verb	verb	
speaker	/ˈspiːkə/	/ˈspiːkə/	noun	noun	
spear	/spɪə(r)/	/spɪə(r)/	noun	noun	
speech	/spiːtʃ/	/spiːtʃ/	noun	noun	
speed	/spiːd/	/spiːd/	noun	noun	
spell	/spel/	/spel/	noun	noun	
spelling	/ˈspel.ɪŋ/	/ˈspel.ɪŋ/	noun	noun	
spicy	/ˈspaɪsi/	/ˈspaɪsi/	adjective	adjective	
spider	/ˈspaɪdə/	/ˈspaɪdə/	noun	noun	
spill	/spɪl/	/spɪl/	verb	verb	
spin	/spɪn/	/spɪn/	verb	verb	
spine	/spaɪn/	/spaɪn/	noun	noun	
spit	/spɪt/	/spɪt/	noun	noun	
spite	/spaɪt/	/spaɪt/	noun	noun	
splash	/splæʃ/	/splæʃ/	noun	noun	
splendid	/ˈsplendɪd/	/ˈsplendɪd/	adjective	adjective	
split	/splɪt/	/splɪt/	verb	verb	
spoil	/spɔɪl/	/spɔɪl/	verb	verb	
spokesman	/ˈspokesman/		noun	noun	无 IPA
sponge	/spʌndʒ/	/spʌndʒ/	noun	noun	
spontaneous	/spɒnˈteɪ.ni.əs/	/spɒnˈteɪ.ni.əs/	adjective	adjective	
spoon	/spuːn/	/spuːn/	noun	noun	
sportsman	/ˈsportsman/		noun	noun	无 IPA
spot	/spɒt/	/spɒt/	noun	noun	
spouse	/spaʊs/	/spaʊs/	noun	noun	
spray	/spreɪ/	/spreɪ/	noun	noun	
spread	/ˈspread/		verb	verb	同形异读（多个读音段）
spring	/ˈsprɪŋ/	/ˈsprɪŋ/	verb	verb	
sprinkle	/ˈsprɪŋkəl/	/ˈsprɪŋkəl/	verb	verb	
sprout	/spraʊt/	/spraʊt/	noun	noun	
spur	/spɜː/	/spɜː/	noun	noun	
spy	/spaɪ/	/spaɪ/	noun	noun	
square	/skweə/	/skweə/	noun	noun	
squeeze	/skwiːz/	/skwiːz/	verb	verb	
squirrel	/ˈskwɪ.r(ə)l/	/ˈskwɪ.r(ə)l/	noun	noun	
stab	/stæb/	/stæb/	noun	noun	
stability	/stəˈbɪlɪti/	/stəˈbɪlɪti/	noun	noun	
stack	/stæk/	/stæk/	noun	noun	
stadium	/ˈsteɪ.di.əm/	/ˈsteɪ.di.əm/	noun	noun	
staff	/stɑːf/	/stɑːf/	noun	noun	
stage	/ˈstage/		noun	noun	同形异读（多个读音段）
stagger	/ˈstæɡə/	/ˈstæɡə/	noun	noun	
stain	/steɪn/	/steɪn/	noun	noun	
stair	/steə/	/steə/	noun	noun	
staircase	/ˈsterˌkeɪs/	/ˈsterˌkeɪs/	noun	noun	
stake	/steɪk/	/steɪk/	noun	noun	
stale	/steɪl/	/steɪl/	adjective	adjective	
stalk	/stɔːk/	/stɔːk/	noun	noun	
stall	/stɔːl/	/stɔːl/	noun	noun	
stamp	/stæmp/	/stæmp/	noun	noun	
standard	/ˈstændəd/	/ˈstændəd/	adjective	adjective	
standpoint	/ˈstændpɔɪnt/	/ˈstændpɔɪnt/	noun	noun	
staple	/ˈsteɪ.pəl/	/ˈsteɪ.pəl/	noun	noun	
star	/stɑː(r)/	/stɑː(r)/	noun	noun	
stare	/steə/	/steə/	verb	verb	
start	/stɑːt/	/stɑːt/	noun	noun	
startle	/ˈstɑːt(ə)l/	/ˈstɑːt(ə)l/	verb	verb	
starve	/stɑːv/	/stɑːv/	verb	verb	
steady	/ˈstedi/	/ˈstedi/	adjective	adjective	
steak	/steɪk/	/steɪk/	noun	noun	
steal	/stiːl/	/stiːl/	verb	verb	
steam	/stiːm/	/stiːm/	noun	noun	
steamer	/ˈstiːmə/	/ˈstiːmə/	noun	noun	
steel	/stiːl/	/stiːl/	noun	noun	
steep	/stiːp/	/stiːp/	adjective	adjective	
steer	/stɪə/	/stɪə/	verb	verb	
stem	/stem/	/stem/	noun	noun	
step	/step/	/step/	noun	noun	
stereo	/ˈste.ri.əʊ/	/ˈste.ri.əʊ/	noun	noun	
stern	/stɜːn/	/stɜːn/	adjective	adjective	
steward	/ˈstjuː.əd/	/ˈstjuː.əd/	noun	noun	
stick	/stɪk/	/stɪk/	noun	noun	
sticky	/ˈstɪki/	/ˈstɪki/	adjective	adjective	
stiff	/stɪf/	/stɪf/	adjective	adjective	
stimulate	/ˈstɪm.jʊ.leɪt/	/ˈstɪm.jʊ.leɪt/	verb	verb	
sting	/ˈstɪŋɡ/	/ˈstɪŋɡ/	noun	noun	
stir	/stɜː/	/stɜː/	verb	verb	
stitch	/stɪtʃ/	/stɪtʃ/	noun	noun	
stock	/stɒk/	/stɒk/	noun	noun	
stocking	/ˈstɒkɪŋ/	/ˈstɒkɪŋ/	noun	noun	
stomach	/ˈstʌmək/	/ˈstʌmək/	noun	noun	
stone	/stəʊn/	/stəʊn/	noun	noun	
