W	cap	noun	/kæp/			古英语 cæppe（头巾、带帽斗篷）← 晚期拉丁语 cappa（带帽斗篷）；cappa 更早词源不明，或为 capitulare（头饰）的截短，无定论，故不属 caput 族	a soft close-fitting head covering, or a small lid that closes the end of something	一片软布贴着头顶扣下来，前面伸出小檐挡太阳；瓶口那个小圆盖也这么扣上	帽子/盖子/上限	He wore a blue cap to keep off the sun.|Screw the cap back on the bottle tightly.	a covering that fits over the top – 扣在顶上的那一层	帽子：扣在头顶的那块软布，前面常带檐|盖子：同一个动作用在瓶口罐口，扣上去把开口封住|上限：把数目扣在一个高度上，再往上就不许走了		
W	artery	noun	/ˈɑːtəri/			拉丁语 arteria ← 希腊语 arteria（气管，也指动脉）；或与 aeirein（举起）相关，更早词源不明，与拉丁语的对照级构词法无关	a thick tube carrying blood away from the heart, or a main route for traffic	剖面上那根管壁厚得能立住，血从心口这头一鼓一鼓往外送，越往前分得越细	动脉/干道	The surgeon repaired a damaged artery.|This road is the city's main artery.	a thick tube feeding outward from the centre – 从中心往外送的那根粗管	动脉：把血从心口往外送的那种厚壁血管|干道：把同一个走向搬到城里，车流从这条主路往各处分		
W	characterize	verb	/ˈkærəktəraɪz/			希腊语 kharakterizein（以特征标出）← kharakter（刻下的印记）← kharassein（刻、划）← kharax（尖桩）；kharax 更早词源不明，与拉丁语的对照级构词法无关	to describe the typical qualities of someone or something, or to be typical of it	尖头在软泥上划三道，别人一见这三道就知道是谁家的记号	描述/表现为/是…的特征	How would you characterize his early work?|Heavy rain characterizes the summer here.	cutting the mark that tells a thing apart – 划下那道认得出它的记号	描述：把一样东西身上认得出的那几点说出来|表现为：把话头转过来，说这东西显出的正是那几点|是…的特征：那道记号本身就代表这样东西		be characterized by sth —— 以某特征为标志，被动式把被描述的那样东西作主语
W	comparative	adjective / noun	/kəmˈpærətɪv/	par-equal	com-（一同）+ par（par 相等）+ -ative → 把两样摆到一处比高下	拉丁语 comparativus ← comparare：com-（一同）+ par（相等、对等）→ 使两者对等摆开来看；与拉丁语的对照级构词法只是碰巧都表「相比」	measured by comparing with something else, or the form of an adjective showing more	两只苹果并排放在秤盘两边，指针偏向哪边才说得出哪个沉	比较的/相对的/比较级	They live in comparative comfort now.|The comparative of good is better.	judged only by setting two side by side – 两样并排摆开才断得出的	比较的：结论要靠两样摆到一处才得出|相对的：不是绝对如此，是与别的一比才这么说|比较级：语法上表示「更…」的那个形式		
W	equip	verb	/ɪˈkwɪp/			古法语 esquiper（备船、装载）← 古诺斯语 skipa（安排、把船配齐）← skip（船）；拼写像拉丁语 aequus（相等）而与之无关	to supply someone or something with the things needed for a purpose	出海前往甲板上一样样搬：缆绳、水桶、干粮，各归各位，少一样就不开船	装备/配备/使有能力	The lab is equipped with new microscopes.|Training equips them to handle emergencies.	fitting out a ship with all it needs – 把船该带的一样样配齐	装备：把该有的东西一件件配上去|配备：同一个动作说得平实些，指按用处给足家当|使有能力：把配齐的东西换成本事，人被配上了应付某事的底子		be equipped with sth —— 配备有某物，介词固定用 with|equip sb to do sth —— 使某人有能力做某事，接不定式
W	equipment	noun	/ɪˈkwɪpmənt/			英语 equip + -ment；equip ← 古法语 esquiper（备船）← 古诺斯语 skipa（安排、把船配齐）；与拉丁语 aequus（相等）无关	the things needed for a particular purpose, taken together	墙上挂钩一排排挂着安全帽、护目镜、卷尺，取走一件就空出一个钩	设备/装备/器材	The kitchen equipment is all new.|Climbers must check their equipment carefully.	the fitted-out set a job needs – 一件事该配齐的那一套家当	设备：为某个用处备下的成套东西，多指较大件|装备：随身带走的那一套，人身上背着的|器材：某项活动专用的那些件，体育与摄影上常这么说		
W	auction	noun / verb	/ˈɔːkʃn/	augere-auctor	auct（auctus，augere 增长的过去分词）+ -ion → 价一层层往上加的那场买卖	拉丁语 auctio（增加、拍卖）← auctus，augere（增长、使兴旺）的过去分词	a public sale where things go to whoever offers the most	台上举起一只花瓶，底下的手一轮轮抬起来，报出的数一次比一次高	拍卖/拍卖会	The painting was sold at auction last week.|They plan to auction the old furniture.	a sale where the price keeps climbing – 价一路往上加的那场买卖	拍卖：出价一层层往上加，最后归叫得最高的那个人|拍卖会：这件事办成一场，有场地有时间的那一次		at auction —— 在拍卖会上，不加冠词|auction sth off —— 把某物拍卖掉，off 表处理干净
W	auxiliary	adjective / noun	/ɔːɡˈzɪliəri/	augere-auctor	auxil（auxilium 援助，与 auctus、augere 增长同支）+ -ary → 添上去的那份力	拉丁语 auxiliaris（辅助的）← auxilium（援助）；auxilium 与 auctus 相关，同出 augere（增长、使兴旺）那一支——援手就是加上去的那份力量	giving extra help or support, or a person or thing that does so	医院墙角那台备用发电机平时不出声，主电一停就接上，灯只暗了半秒	辅助的/备用的/助手	The ship has an auxiliary engine.|Nursing auxiliaries help on the wards.	the added strength that backs the main one – 添在主力旁边帮着使劲的那份力	辅助的：不当主力，添在旁边帮着使劲|备用的：平时闲着，主力停了才顶上|助手：干这件事的那个人，跟着主事的做		
W	accessory	noun / adjective	/əkˈsesəri/	ced	ac-（朝向）+ cess（cedere 行走、让出）+ -ory → 跟着走到主件旁边的那样东西	拉丁语 accessorius（附加的）← accedere：ad-（朝向）+ cedere（行走）→ 走到旁边添上的	an extra thing added to something more important, or someone who helps in a crime	车买好了，销售又推来一摞：脚垫、挂钩、遮阳板，装不装车都能开	配件/饰品/从犯	The camera comes with several accessories.|He was charged as an accessory to the robbery.	what walks up alongside the main thing – 走到主件旁边添上的那样	配件：添在主件旁边的零件，缺了主件照用|饰品：添在衣着上的那些小件，帽子围巾之类|从犯：跟在主犯旁边搭手的那个人		accessory to sth —— 某罪的从犯，法律用语，介词固定用 to
W	cease	verb	/siːs/	ced	cease（cessare ← cedere 行走、让出）→ 往后让开，不再往前走	古法语 cesser ← 拉丁语 cessare（停下、松劲）← cedere（行走、让出）	to stop happening or to stop doing something	机器的响声一层层退下去，最后一下轻响之后，车间里只剩风扇的余音	停止/终止	The rain ceased before dawn.|The company ceased trading last year.	drawing back until the motion stops – 往后退开，动作到此为止	停止：正在走的事往回收，收到不再进行|终止：偏在正式场合，一项安排到此不再延续		cease to do sth —— 不再做某事，接不定式偏正式|cease doing sth —— 停止做某事，接动名词，与不定式相近|without cease —— 不停地，固定短语，不加冠词
W	crisis	noun	/ˈkraɪsɪs/	crit	cris（krinein 判别、裁断）+ -is → 到了非判出一个结果不可的那一刻	希腊语 krisis（决断、转折）← krinein（判别、裁断）；医学上原指病势到了定生死的那一天	a time of great difficulty or danger when decisions must be made	病床边的曲线一路爬到最高那一格，医生盯着表说过了今晚就好办	危机/紧要关头	The country faces a serious economic crisis.|She stayed calm throughout the crisis.	the moment a thing must be decided one way or the other – 非判出个结果不可的那一刻	危机：事情坏到得马上决断的那一段|紧要关头：同一时刻不带凶险色彩的说法，指转折就在这里		
W	crisp	adjective	/krɪsp/			古英语 crisp（卷的、皱的）← 拉丁语 crispus（卷曲、起皱）；与希腊语 krinein（判别）无关，本项目未为 crispus 族建根	hard and dry so that it breaks with a sharp sound, or fresh and sharply clear	咬下去咔一声断在齿间，碎渣掉到盘子上还听得见响	脆的/清新的/干脆的	The pastry was light and crisp.|We walked out into the crisp morning air.	dry enough to snap with a clean sound – 干到一掰就脆响着断开	脆的：一咬一掰就断，断口干净有声|清新的：把这份干爽挪到空气上，凉而不潮|干脆的：说话办事像那声断响，短而利落，不拖		
W	discipline	noun / verb	/ˈdɪsɪplɪn/			拉丁语 disciplina（教导、所学的门道）← discipulus（学生）；discipulus 更早词源两说、无定论，与 discus（圆盘）无关	training that makes people obey rules, or a branch of knowledge	操场上一排人，哨子一响脚同时落地，慢半拍的那个被叫出来单独再走一趟	纪律/学科/训练	The school is known for strict discipline.|Physics and chemistry are separate disciplines.	the order that has to hold for learning to happen – 要教得进去，先得有的那套规矩	纪律：一群人守着的那套规矩，不守就受管|学科：教与学分出来的一个门类|训练：把规矩加到人身上的那个过程，也指管束		
W	discrepancy	noun	/dɪsˈkrepənsi/			拉丁语 discrepantia（不一致）← discrepare：dis-（分开）+ crepare（响、作声）→ 两处响出来的音不一样；与 discus（圆盘）无关，本项目未为 crepare 族建根	a difference between two things that should be the same	两份账并排摊开，同一栏的数差着三百，抄的人签名都在，看不出谁写错	差异/不一致	There is a discrepancy between the two reports.|Auditors found several discrepancies in the accounts.	two things sounding different when they should match – 本该一致的两处，响出来不是一个音	差异：本该对上的两处对不上，差出来的那一点|不一致：说的是这个状态本身，两边彼此不合		
W	conservative	adjective / noun	/kənˈsɜːvətɪv/	serv	con-（彻底）+ serv（servare 保存、守护）+ -ative → 一心把原样守住的	拉丁语 conservare：com-（彻底）+ servare（保存、守护）→ 完完整整守住不变	preferring things to stay as they are, or deliberately low in an estimate	家具还是祖父那批，墙纸旧了只补不换，客人提议改动，主人摇头说这样就好	保守的/守旧的/保守估计的	He holds fairly conservative views on education.|That is a conservative estimate of the cost.	keeping a thing exactly as it was – 把东西照原样守住	保守的：倾向留住现状，不愿变动|守旧的：同一个倾向说得重些，偏指抱着老办法不放|保守估计的：数报得往低往稳，宁可说少不说多		
W	deserve	verb	/dɪˈzɜːv/			古法语 deservir ← 拉丁语 deservire：de-（彻底）+ servire（服侍、效力）；servire 与 servare（保存、守护）不同根，本项目未为 servire 族建根	to have earned something because of what one has done	一场雨里搬完最后一箱，工头把热汤递过来，在场的谁都不觉得这碗多余	值得/应得	She deserves a break after that week.|Those children deserve better treatment.	having served enough that it is owed to you – 出的力够了，这份就该归你	值得：拿这个人做的事一衡量，配得上这个待遇|应得：语气更硬，指这份本来就该给他，好坏都算		deserve to do sth —— 应该得到某种结果，接不定式|deserve better —— 值得更好的对待，比较级后不接 than
W	architect	noun	/ˈɑːkɪtekt/			希腊语 arkhitekton（总匠人）：arkhi-（为首）+ tekton（木工、建造者）；tekton 与拉丁语 texere（编织）同出一源而语义已分，与 tegere（遮盖）无关	a person who designs buildings and oversees their construction	图纸铺满整张桌子，铅笔在窗的位置改了三遍，工地上的人等这一张定了才动土	建筑师/设计者/缔造者	The architect showed us the revised plans.|She is the architect of the new policy.	the chief builder who plans the whole thing – 通盘拿主意的那个头道匠人	建筑师：画房子并管着盖起来的那个人|设计者：把同一件事挪到别的物件上，通盘拿主意的人|缔造者：抽象的事也这么说，某件大事是他一手筹起来的		
W	architecture	noun	/ˈɑːkɪtektʃə/			拉丁语 architectura ← architectus ← 希腊语 arkhitekton（总匠人）：arkhi-（为首）+ tekton（建造者）；tekton 与拉丁语 texere（编织）同出一源而语义已分，与 tegere（遮盖）无关	the art of designing buildings, or the way a complex system is put together	站在广场中间抬头转一圈，柱子的间距、窗的高低、屋顶的坡度合成一套讲究	建筑学/建筑风格/架构	She studied architecture for five years.|The building shows classical Greek architecture.	how a whole thing is planned and put together – 一整样东西通盘怎么筹怎么搭	建筑学：画房子这门学问与手艺|建筑风格：一时一地房子的那套做法与样貌|架构：把这套讲究挪到无形的东西上，系统内部怎么搭起来		
W	caress	verb / noun	/kəˈres/			法语 caresse ← 意大利语 carezza（亲昵的举动）← caro ← 拉丁语 carus（亲爱的、宝贵的）；与 carrus（货车）无关，本项目未为 carus 族建根	to touch someone gently and lovingly, or such a touch	手掌贴着婴儿的头顶来回移，慢得没把那层绒毛压下去	抚摸/爱抚	She caressed the sleeping child's cheek.|He remembered her gentle caress.	a touch light enough to show it is dear – 轻到只为表明这人宝贵的那种碰	抚摸：手贴上去慢慢移动，力道极轻|爱抚：同一个动作说出里头那份亲近，重在心意		
W	clear	adjective / verb	/klɪə/	clarus	clear（clarus 明亮、清澈）→ 亮到什么都挡不住视线	古法语 cler ← 拉丁语 clarus（明亮、清澈、响亮）	easy to see, hear, or understand, or to remove things that are in the way	雨停后水面静下来，底上的石子一颗颗数得出；桌上杂物一收，木纹也露出来	清楚的/晴朗的/清除	The water was so clear we saw the bottom.|Please clear the table before dinner.	bright enough that nothing blocks the view – 亮到什么都挡不住看	清楚的：中间没有遮挡，看得听得懂得都不费劲|晴朗的：说天时，云散开亮堂堂|清除：把挡着的东西搬走，让那处重新透亮		make it clear that... —— 把某事讲明白，用 it 作形式宾语接从句|be clear about sth —— 对某事清楚明白，介词用 about|clear sth up —— 收拾干净，也指把疑问弄清楚
W	curb	verb / noun	/kɜːb/			古法语 courbe（弯的）← 拉丁语 curvus（弯的）← curvare（使弯）；本指扣在马下颌的那条弯带，与 cor/cordis（心）无关	to keep something within limits, or the raised stone edge of a pavement	缰绳往回一带，马头被弯着压低，急步收成了慢步	控制/抑制/路缘	The city tried to curb traffic noise.|He parked with two wheels on the curb.	bending a thing back to hold it in – 往回弯着带住，不许它往前冲	控制：把势头往回带住，不让它涨出去|抑制：同一个动作说得重些，偏指压着不许发作|路缘：人行道边那道凸起的石边，把车挡在外头		
W	descendant	noun	/dɪˈsendənt/			法语 descendant ← 拉丁语 descendere：de-（往下）+ scandere（攀、登）→ 顺着往下走的那一支；与 densus（稠密）无关，本项目未为 scandere 族建根	a person related to someone who lived a long time ago	族谱纸上一条线从最上那个名字往下分岔，最底下那一格写着还在世的人	后代/子孙/后裔	She is a descendant of a famous painter.|Their descendants still farm the same land.	the one further down the line – 顺着那条线往下数出来的那个	后代：从某人往下数出来的人，一代代接着|子孙：日常说法，指自家往下这几代人|后裔：偏书面，多用在追到很久以前那个源头时		
W	domain	noun	/dəˈmeɪn/	domus	domain（dominium 产业 ← dominus 家主 ← domus 家）→ 当家人管得着的那一片	法语 domaine ← 中世纪拉丁语 domanium ← 拉丁语 dominium（产业、支配权）← dominus（家主）← domus（家、房屋）	an area of knowledge or activity, or land owned and controlled by someone	庄园的界石一路插到河边，界内的田、林、磨坊都听主人一句话	领域/范围/领地	That question falls outside my domain.|The whole valley was once his domain.	the stretch one master's word covers – 一个当家的说话管得到的那一片	领域：某人某学问管得着的那一块，说知识与行当|范围：同一块地界说得抽象些，指界内界外|领地：实实在在的那片地，归谁所有归谁管		
W	affiliate	verb / noun	/əˈfɪlieɪt/			中世纪拉丁语 affiliare（收为养子）：ad-（朝向）+ filius（儿子）；与 filum（线）无关，本项目未为 filius 族建根	to join a smaller organization to a larger one, or a group so joined	小诊所门口换了新牌子，名字底下多出一行小字，写着归哪家大医院	使隶属/加入/分支机构	The clinic is affiliated with the city hospital.|Our local branch is an affiliate of the union.	taken in as a son of a bigger house – 被大门户收进来当自家子弟	使隶属：把小的一方挂到大的一方名下|加入：从小的一方说，进到那个大组织里去|分支机构：这样挂上去的那个单位本身		be affiliated with / to sth —— 隶属于某机构，两个介词都通行
W	diagram	noun	/ˈdaɪəɡræm/	graphein	dia-（贯通）+ gram（graphein 刻写、描画）→ 把一件事的来龙去脉画通	希腊语 diagramma（画出来的图形）← diagraphein：dia-（贯通）+ graphein（刻写、描画）	a simple drawing that shows how parts relate or how something works	黑板上几个方框连着箭头，字只写了标签，看的人顺着箭头就知道先后	图表/图解/示意图	The teacher drew a diagram on the board.|Follow the diagram to assemble the shelf.	lines drawn to show how parts connect – 用线把各部分怎么连的画出来	图表：画出来说明关系的那张图|图解：偏在讲解上，拿图代替一段话|示意图：不求画准，只把走向与关系交代清楚的那种		
W	entrepreneur	noun	/ˌɒntrəprəˈnɜː/	prehendere	entre-（之间）+ pren（prehendere 抓住）+ -eur（人）→ 从中间把事揽到自己手里的人	法语 entrepreneur ← entreprendre（承揽）：entre-（之间，← 拉丁语 inter）+ prendre（拿、抓，← 拉丁语 prehendere）；承义的是「抓住」这一支，不是 intrare（走进）	a person who sets up a business and takes on its risks	租下空铺面的那个人自己签了合同，货款先垫上，赔了也是他兜着	企业家/创业者	The young entrepreneur opened three shops.|Tax breaks are meant to encourage entrepreneurs.	the one who reaches in and takes the venture in hand – 伸手把这摊事揽到自己手里的人	企业家：自己张罗一门生意、担着盈亏的那个人|创业者：偏在起头那一段，从无到有把摊子撑起来的人		
W	collaborate	verb	/kəˈlæbəreɪt/			晚期拉丁语 collaborare：com-（一同）+ laborare（劳作）← labor（劳苦）；与 labi（滑落）无关，本项目未为 laborare 族建根	to work together with someone, or to help an enemy occupying one's country	两个人对着同一张图纸，一个画一个改，桌上只有一杯凉了的茶	合作/协作/通敌	The two labs collaborated on the vaccine.|He was accused of collaborating with the enemy.	putting labour in together on one thing – 同一件事上一起出力	合作：几方把力气使到同一件事上|协作：偏指分工的那种合作，各做一段还得对得上|通敌：这份力气使到敌方那边去，战时的说法		collaborate with sb on sth —— 与某人合作做某事，两个介词各管一头
W	apparent	adjective	/əˈpærənt/	apparere	ap-（朝向）+ par（parere 露出、显现）+ -ent → 已经露到面上的	拉丁语 apparentem ← apparere：ad-（朝向）+ parere（露出、显现）；与 par（相等）那一支不同	easy to see or understand, or seeming true without necessarily being so	雾一散，对岸的塔尖先露出来，谁都不用指认；可露出的那一截未必是全塔	明显的/表面上的/看似的	It was apparent that she had been crying.|His apparent calm hid real anger.	already showing on the surface – 已经显到面上来的	明显的：露得够清楚，不用人指点就看出来|表面上的：只露出来这一层，里头的未必如此|看似的：话说得留了余地，显出来是这样而已		
W	accompany	verb	/əˈkʌmpəni/			古法语 acompaignier（结伴）← compaign ← 晚期拉丁语 companio（同吃一块面包的人）：com-（一同）+ panis（面包）；与 poena（罚）无关，本项目未为 panis 族建根	to go somewhere with someone, or to happen at the same time as something	出门时另一个人跟着下楼，一路走在半步之后，到门口才分开	陪同/伴随/伴奏	Her brother accompanied her to the station.|Thunder accompanied the heavy rain.	sharing the road as one shares bread – 像分一块面包那样一路同行	陪同：跟着某人一起去，人陪着人|伴随：两件事一起出现，一样跟着另一样来|伴奏：唱的人在前，弹的人跟着托住		be accompanied by sb / sth —— 由某人陪同、伴有某物，被动式用 by
W	encounter	verb / noun	/ɪnˈkaʊntə/			古法语 encontrer（迎面遇上）← 晚期拉丁语 incontra（在对面）：in-（在）+ contra（对面、相对）；与 putare（点算）无关，contra 是前缀性成分，本项目未为其建根	to meet someone or something unexpectedly, especially a difficulty	转过山道那一刻，对面来的人也刚抬头，两边都停住了脚	遇到/遭遇/相遇	We encountered heavy traffic on the way.|Their first encounter was purely by chance.	coming face to face with what is opposite – 迎面撞上对面来的那一样	遇到：没预备就碰上了，人与事都可以|遭遇：碰上的是麻烦，语气偏重|相遇：两边彼此碰上，不带好坏		
W	address	noun / verb	/əˈdres/	rect	ad-（朝向）+ dress（directus 直的 ← regere 使直）→ 冲着那一处直送过去	古法语 adrecier（对直、指向）← 通俗拉丁语 *addirectiare：ad-（朝向）+ directus（直的）← dirigere ← regere（引导、使直）；dress 同出这一支	the details of where someone lives, or to speak to or deal with something directly	信封中间那几行字把送信的人一路引到门牌下，一步没绕	地址/演讲/处理/称呼	Write your address on the back of the form.|The report addresses three main problems.	aiming straight at the one place – 对直了冲着那一处去	地址：把人一路引到那一处的那几行字|演讲：把话直冲着底下的人送出去，正式场合的那一篇|处理：力气直对着问题本身使，不绕开|称呼：对准那个人，叫出该叫的那个名分		address a problem / an issue —— 着手处理某问题，宾语是问题本身|address sb as sth —— 以某称呼称呼某人，as 后接称谓
W	distant	adjective	/ˈdɪstənt/	sta	dis-（分开）+ stant（stare 站立）→ 各站一边，中间空着一段	拉丁语 distantem ← distare：dis-（分开）+ stare（站立）→ 站开着，隔着一段	far away in space or time, or not friendly in manner	山那头的灯只有一小点，中间黑着一大片；对面那人点头也只点了半下	遥远的/久远的/冷淡的	We could see a distant light on the hill.|He gave me a distant nod.	standing apart with a gap between – 两处各站一边，中间隔着一段	遥远的：地方隔得开，中间那段路长|久远的：把这段隔开挪到时间上，事情离现在很远|冷淡的：人与人之间也隔着一段，不亲近		
W	destroy	verb	/dɪˈstrɔɪ/	stru	de-（反向）+ stroy（struere 堆叠、建造）→ 把垒起来的一层层拆回去	古法语 destruire ← 拉丁语 destruere：de-（反向）+ struere（堆叠、建造）	to damage something so badly that it no longer exists or works	墙从上头一层层塌下去，砖散在地上，原来的形状再拼不回来	破坏/摧毁/毁灭	The fire destroyed most of the building.|Careless words can destroy a friendship.	taking a built thing back down layer by layer – 把垒起来的一层层拆回去	破坏：把成形的东西弄坏，功能失效|摧毁：力度更大，整个垮下来|毁灭：连存在都没了，抽象的东西也这么说		
