underline	由 under-（在下）＋ line（线）构成；line 一支 ← 古英语 līne ← 拉丁语 linea（线）	to draw a line under words, or to make a point stand out	划线/强调	Underline the key terms in red.|The report underlines the need for care.	drawing a line beneath so the eye stops there – 在底下划一道，让眼睛在那儿停住	划线：在字下面画一条线|强调：把某一点特意点出来，如同划线		/ˌʌndəˈlaɪn/	noun / verb
underlying	由 underlie ＋ -ing 构成；underlie 一支 ← 古英语 underliċġan（在下、隶属）	present beneath the surface, though not obvious	潜在的/根本的	The underlying cause was never found.|Beneath the calm lay underlying tension.	there beneath, holding things up without showing – 在底下托着，却不露出来	潜在的：存在却未显现|根本的：处在最底层、决定上面那些的		/ˌʌndəˈlaɪɪŋ/	
undermine	由 under-（在下）＋ mine（挖坑道）构成；mine 一支 ← 古法语 miner（挖）	to weaken something gradually from below	暗中削弱/掏空根基	Gossip undermined her authority in the office.|Water had undermined the wall for years.	digging away what holds something up, out of sight – 在看不见处把支撑挖走	暗中削弱：不动声色地使之变弱|掏空根基：把底下的支撑掏走，表面还看不出			
underneath	中古英语 undernethe ← 古英语 underneoþan（在下面）← 原始日耳曼语 *underniþer，即 under-＋ neath（下）	below or beneath something, especially hidden there	在下面/底下	The key was underneath the mat.|She wore a jumper underneath.	tucked below something and covered by it – 压在某物之下、被它盖着	在下面：位置处于其下|底下：口语说法，多指被遮住的那一侧			
understand	中古英语 understanden ← 古英语 understandan ← 原始日耳曼语 *understandaną（站在其间、领会），即 under-（在其间）＋ stand（站）	to know what something means or how it works	懂/理解/领会	I do not understand the question.|He understands how the engine works.	seeing how the parts stand together, so the whole makes sense – 看清各部分怎样搭在一起，整件事就通了	懂：知道其意思|理解：想清了其中道理|领会：把话外之意也接住			
understanding	中古英语 understandinge ← 古英语 understanding（智力、领会），即 understand ＋ -ing	the ability to know what something means, or an informal agreement	理解力/共识/谅解	She has a good understanding of the law.|They reached an understanding after talks.	grasping how things fit, and the agreement that grasp allows – 弄清事情如何相合，以及由此达成的一致	理解力：能弄懂事理的那份能力|共识：双方对同一件事看法一致|谅解：明白对方处境后不再计较			
undertake	中古英语 undertaken，即 under-（在下）＋ take（拿），仿早期 undernim 而造	to agree to do something and take responsibility for it	着手/答应/担起	They undertook to finish by June.|She undertook the repairs herself.	taking a task onto yourself and standing behind it – 把一件事接到自己身上，并为它负责	着手：开始动手做|答应：应下这件事|担起：把责任接过来自己扛			
undo	中古英语 undōn ← 古英语 ondōn ← 原始西日耳曼语 *andadōn，即 un-（反向）＋ do（做）	to open what was fastened, or to reverse what was done	解开/撤销	He undid the top button.|You cannot undo what was said.	working an action backwards so it no longer holds – 把做过的动作倒着走一遍，使它不再成立	解开：把系紧的松开|撤销：把已做的取消，使回到原状			
uneasy	中古英语 unesy，即 un-（不）＋ easy（安适的）；并与中古英语 unethe（不易的）合流	anxious and not able to relax	不安的/局促的	He felt uneasy about the plan.|An uneasy silence filled the room.	unable to settle because something feels wrong – 心里觉着不对，安不下来	不安的：心里悬着，放不下|局促的：身处其中觉着别扭、不自在			
unexpected	由 un-（不）＋ expected（预料到的）构成；expect 一支 ← 拉丁语 exspectare（张望、等待）	not thought likely to happen	意外的/没料到的	His visit was completely unexpected.|An unexpected bill arrived on Friday.	turning up without having been counted on – 事先没算上，却出现了	意外的：出乎预想之外|没料到的：事先完全没想到会这样			
unfold	中古英语 unfolden ← 古英语 unfealdan（展开），即 un-（反向）＋ fold（折）	to open something folded, or to become gradually clear	展开/铺开/逐渐显露	She unfolded the map on the bonnet.|The story unfolded over three days.	opening the folds so what was inside comes into view – 把折起的层次打开，里面的就露出来	展开：把折着的打开|铺开：展开后摊平在面上|逐渐显露：事情一层层显出来，如同展开			
unlike	中古英语 unlic ← 古英语 unġelīċ（不相似的）← 原始日耳曼语 *ungalīkaz，即 un-（不）＋ like（相似）	different from, or not typical of	与…不同/不像	Unlike her sister, she enjoys crowds.|That remark was quite unlike him.	set against something and found not to match – 与某物相比，对不上	与…不同：两者相较有别|不像：与某人平素的样子不符			
unlikely	中古英语 unlykely，即 un-（不）＋ likely（可能的）；likely 一支 ← 古诺尔斯语 líkligr（像样的、可能的）	probably not going to happen or be true	不太可能的/未必的	Rain is unlikely before evening.|It seems an unlikely explanation.	having little to suggest it will come about – 没有多少迹象显示它会发生	不太可能的：发生的机会很小|未必的：不一定如此，留有反面余地			
